,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value
country,Österreich,Belgien,Bulgarien,Schweiz,Zypern,Tschechien,Dänemark,Estland,Spanien,Finnland,Frankreich,Vereinigtes Königreich,Griechenland,Kroatien,Ungarn,Irland,Italien,Lettland,Luxemburg,Litauen,Niederlande,Polen,Portugal,Rumänien,Schweden,Slowenien,Slowakei
date,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-01,0.15400624349635797,0.06472491909385113,0.10426334106728538,-0.0038022813688212928,-0.3125,0.057459677419354836,-0.05982905982905983,-0.28888888888888886,-0.1324067300658376,0.018115942028985508,-0.03200522534291313,0.04480874316939891,-0.02788027880278803,0.1905155776123518,0.07987616099071207,-0.025,0.08843329253365972,0.17189835575485798,0.11374407582938388,-0.1111111111111111,0.07097457627118645,0.008910642570281124,-0.1462979482604817,0.163639767833739,-0.04421768707482993,0.437609841827768,0.008797653958944282
2015-04-01,0.03802672147995889,0.1672473867595819,0.10537493873550073,-0.13320463320463322,0.0,0.15640766902119072,-0.13106796116504854,0.24390243902439024,-0.13946459412780657,-0.01507537688442211,0.12717219589257503,0.05844155844155844,-0.0841409691629956,0.2945246690734055,0.0020302278366794496,-0.14184397163120568,0.04226992844067232,-0.0054869684499314125,0.175,-0.2022653721682848,0.01799775028121485,0.06517124257005377,-0.09386281588447654,0.22580862533692722,-0.01818181818181818,0.18717504332755633,-0.03967670830271859
2015-05-01,0.11403508771929824,-0.1341991341991342,0.014596003475238923,-0.16377171215880892,-0.2826086956521739,-0.033155080213903745,0.18803418803418803,0.0,-0.29030927835051545,-0.21739130434782608,-0.12463199214916584,-0.05641025641025641,-0.131779257849667,-0.04944308611790275,-0.12190889370932755,-0.1,0.046553808948004836,0.02599388379204893,-0.13513513513513514,-0.1656686626746507,-0.12102689486552567,-0.07910168434185902,-0.24752475247524752,0.03899721448467967,-0.16751269035532995,-0.11853088480801335,-0.12999150382327954
2015-06-01,0.13093980992608237,-0.04744525547445255,0.13179571663920922,0.1791767554479419,0.3,0.12743190661478598,-0.0055248618784530384,-0.15,-0.12656033287101248,0.13194444444444445,0.09644194756554307,0.058823529411764705,0.0705607476635514,0.14088329632371083,0.03178978316795296,0.1797752808988764,0.07436123348017622,0.4,0.36054421768707484,-0.016793893129770993,0.10785619174434088,-0.00017997750281214847,-0.1518716577540107,0.16631528509822713,0.0038461538461538464,0.19767441860465115,0.025347012673506336
2015-07-01,0.170993733213966,0.14873417721518986,0.052384446074834924,-0.04307116104868914,-0.21428571428571427,0.03245614035087719,-0.06077348066298342,-0.15315315315315314,0.0037688442211055275,-0.2709677419354839,-0.10166799046862589,-0.07742461287693561,0.07298136645962733,0.547241297655695,-0.003353927625772286,-0.05963302752293578,0.018441196938065414,0.2484548825710754,0.22325581395348837,-0.038461538461538464,0.15931108719052745,0.03112930994369736,-0.12129629629629629,0.07612364064927413,-0.003401360544217687,-0.07455429497568881,-0.03597560975609756
2015-08-01,0.1931166347992352,-0.09116809116809117,0.1609702315325248,0.0,-0.03529411764705882,0.19153225806451613,-0.12211221122112212,-0.07758620689655173,-0.10510610079575597,-0.027888446215139442,-0.07251908396946564,0.10703812316715543,0.1485445205479452,0.6930551586167476,0.04266873545384019,0.15656565656565657,0.028289348775393963,0.25,0.4692982456140351,-0.0243161094224924,0.04372093023255814,0.04884215365166925,-0.03305785123966942,0.21736987988912843,0.022792022792022793,0.06868686868686869,-0.0808448652585579
2015-09-01,0.003911342894393742,-0.040492957746478875,0.10257339615802827,-0.07724867724867725,0.08496732026143791,-0.03526448362720403,-0.026627218934911243,-0.13245033112582782,-0.11322665586388495,-0.04,-0.0676056338028169,-0.0005339028296849973,0.20664431575739103,0.4782887700534759,0.04762706159542242,0.11560693641618497,-0.009231905465288036,0.08449074074074074,-0.03656307129798903,-0.21595092024539878,-0.06093979441997063,-0.024791644688258254,-0.0546875,0.09904461835552393,0.016771488469601678,-0.18157894736842106,-0.11266709102482496
2015-10-01,0.09510290986515259,0.06529850746268656,0.1847705914870094,0.18258426966292135,-0.053691275167785234,-0.030453257790368272,-0.06428571428571428,-0.1597222222222222,-0.06829268292682927,0.038461538461538464,-0.059135399673735725,0.09259259259259259,0.18702173247627793,0.3952550415183867,0.01840867253016977,-0.11538461538461539,-0.008984725965858042,0.12891566265060242,0.1893491124260355,-0.07464788732394366,-0.07638279192273925,0.005237493227379447,-0.03751233958538993,0.15118712995634231,0.12874251497005987,-0.028050490883590462,-0.11901408450704225
2015-11-01,0.19581151832460733,-0.26666666666666666,0.00594429347826087,0.0954653937947494,-0.2,0.02986857825567503,-0.07222222222222222,0.1,-0.21796625626994984,0.13953488372093023,-0.11053089643167972,0.1595744680851064,0.01608187134502924,0.22654718566227947,-0.09187547456340167,0.27522935779816515,-0.10016510731975785,0.13504273504273503,-0.020242914979757085,-0.1282565130260521,-0.02765486725663717,-0.08261794124596361,-0.242467718794835,0.0515281830747965,-0.2625482625482625,0.033734939759036145,-0.190625
2015-12-01,0.13696808510638298,-0.12340425531914893,0.042582417582417584,-0.022922636103151862,-0.16666666666666666,-0.1297709923664122,0.08849557522123894,0.24324324324324326,-0.2158766419189035,0.125,-0.0599250936329588,0.10188087774294671,-0.004822446295484437,0.127831715210356,-0.1632801161103048,-0.06862745098039216,-0.1839712918660287,0.24121779859484777,0.2929936305732484,-0.18181818181818182,-0.07015306122448979,-0.05801070583841653,-0.1575875486381323,0.013293605317442126,0.125,-0.09883720930232558,-0.20448179271708683
2016-01-01,1.2996811902231669,-0.008645533141210375,0.14982057416267944,0.2695035460992908,0.17647058823529413,0.21125143513203215,0.3352272727272727,-0.028985507246376812,-0.054324206866579745,-0.02072538860103627,0.2607636068237206,0.21345951629863302,0.21370182950564423,0.20804911323328787,0.07471804511278196,0.46853146853146854,-0.041244083840432724,0.25647668393782386,0.4682926829268293,0.04363636363636364,0.14567669172932332,0.11446786930377455,-0.06512605042016807,0.24794305863915372,0.09124087591240876,0.022222222222222223,0.10679611650485436
2016-02-01,0.3640776699029126,-0.12286689419795221,0.05461767626613704,-0.0425,0.3584905660377358,-0.027251184834123223,-0.04945054945054945,-0.03389830508474576,-0.10654885654885655,-0.12582781456953643,-0.01146384479717813,0.109375,0.18698397280233123,0.2867092280905398,-0.040973111395646605,-0.072992700729927,-0.08911246855910887,-0.01762114537444934,-0.05027932960893855,0.03048780487804878,0.04678362573099415,-0.016644933650379688,-0.19577308120133483,0.13956210410355274,-0.13452914798206278,-0.0019083969465648854,0.012108980827447022
2016-03-01,0.05410279531109107,0.0243161094224924,-0.12948128693368352,-0.03625954198473282,0.4318181818181818,-0.109628217349857,0.05909090909090909,0.078125,-0.18465430016863407,-0.014234875444839857,-0.11875843454790823,0.006276150627615063,0.07212146773513285,-0.009495136637332098,-0.23069571865443425,0.08974358974358974,-0.20382344672476807,-0.06505102040816327,-0.02127659574468085,-0.03298611111111111,-0.1414441147378833,-0.20108222415723348,-0.04597701149425287,-0.05181013676588898,-0.12455516014234876,-0.4474327628361858,-0.17369186046511628
2016-04-01,0.1188118811881188,-0.11940298507462686,-0.08734850724209282,0.10690423162583519,0.125,-0.14223385689354276,-0.08379888268156424,-0.4019607843137255,-0.1359759157049674,-0.22448979591836735,-0.09740714786264891,-0.007157464212678937,0.03511303511303511,0.14989542179874507,-0.08982440342188204,0.0743801652892562,-0.10953217307999362,0.004137931034482759,0.06808510638297872,-0.002028397565922921,0.041988950276243095,-0.04371221683385371,0.11952191235059761,0.013468198559727338,0.032407407407407406,-0.19854014598540146,-0.16143840856924255
2016-05-01,0.00562429696287964,0.075,0.03596506251070389,0.21068249258160238,0.5151515151515151,-0.028761061946902654,0.02877697841726619,-0.208955223880597,-0.10459035444509006,0.1388888888888889,0.07623318385650224,0.15896739130434784,0.05315068493150685,0.18605315804515576,-0.03384387351778656,0.2740740740740741,-0.0943577893317928,0.12518628912071536,0.10625,0.028708133971291867,0.06258692628650904,-0.0676737569435036,0.06743421052631579,0.058366845397676496,0.024390243902439025,-0.1553030303030303,-0.052734375
2016-06-01,-0.11484593837535013,0.034482758620689655,-0.15085351329892815,-0.19096509240246407,0.28846153846153844,-0.22519413287316653,-0.13333333333333333,0.22058823529411764,-0.18777292576419213,-0.11042944785276074,-0.13834329632792486,-0.01717171717171717,-0.07769532955041467,0.1384083044982699,-0.217453250222618,0.014285714285714285,-0.20370674102017386,-0.14752567693744165,-0.06,-0.08540372670807453,-0.11538461538461539,-0.27442509338013593,-0.05926860025220681,-0.16716650918203854,-0.02681992337164751,-0.3606102635228849,-0.2901706886403767
2016-07-01,-0.20795107033639143,-0.06887052341597796,-0.15002788622420524,-0.07240704500978473,0.16363636363636364,-0.20475785896346643,-0.49411764705882355,-0.05319148936170213,-0.20431789737171463,0.336283185840708,0.08399646330680813,0.015017667844522967,-0.1251808972503618,-0.18380777471686563,-0.20988310308182784,-0.04390243902439024,-0.21540826785104203,-0.12376237623762376,-0.1444866920152091,-0.15555555555555556,-0.12813370473537605,-0.29318592057761733,-0.3087460484720759,-0.10454002389486261,-0.10921501706484642,-0.19614711033274956,-0.2631246046805819
2016-08-01,0.022435897435897436,0.21003134796238246,-0.06227106227106227,0.11363636363636363,-0.13414634146341464,-0.16328257191201354,0.6428571428571429,-0.037383177570093455,-0.014449796220822526,0.06147540983606557,0.15020576131687244,0.07019867549668875,-0.06038017144986955,-0.10195813639432816,-0.14360119047619047,0.048034934497816595,-0.09545790251107829,-0.005988023952095809,-0.041791044776119404,-0.045171339563862926,0.0427807486631016,-0.22456582479592396,-0.049145299145299144,-0.04892734264318964,-0.09192200557103064,-0.1266540642722117,-0.22900158478605387
2016-09-01,-0.048701298701298704,-0.03486238532110092,-0.0762656147271532,0.03555045871559633,-0.07228915662650602,-0.1671018276762402,0.07598784194528875,-0.21374045801526717,-0.0749200548195523,0.06666666666666667,-0.013217522658610271,0.019764957264957264,-0.17403384693104318,-0.15685139632469974,-0.18795180722891566,0.09067357512953368,-0.1262268604795627,-0.013874066168623266,-0.058823529411764705,0.018779342723004695,-0.09929632525410477,-0.2188446559930766,-0.02662993572084481,-0.03546492809913534,-0.15670103092783505,-0.12861736334405144,-0.16642754662840745
2016-10-01,-0.07453013609850939,-0.14535901926444833,-0.08713402542867141,-0.167458432304038,-0.2127659574468085,-0.19357195032870708,0.0,0.0,-0.10732984293193717,-0.1717171717171717,0.022973558734286952,0.012203389830508475,-0.20268179473955647,-0.13909199115796633,-0.10323358104036955,0.019762845849802372,-0.1139748737210206,-0.1664887940234792,-0.028192371475953566,-0.0015220700152207,-0.0741444866920152,-0.2246376811594203,-0.1076923076923077,-0.05309366720349109,-0.1273209549071618,-0.2453102453102453,-0.17346123101518784
2016-11-01,-0.19176882661996497,0.06545454545454546,0.08053351342225223,-0.006535947712418301,0.3076923076923077,-0.07308584686774942,0.08383233532934131,-0.09090909090909091,0.045481049562682216,0.21428571428571427,0.06555772994129158,0.07033639143730887,0.03633093525179856,0.00410958904109589,0.030379041248606464,-0.007194244604316547,-0.0273190621814475,0.07078313253012049,0.10743801652892562,0.15632183908045977,-0.04209328782707622,-0.0729739010989011,0.07007575757575757,0.13503249835682465,-0.031413612565445025,-0.2564102564102564,-0.021879021879021878
2016-12-01,-0.13567251461988303,0.043689320388349516,0.015590689503732982,0.005865102639296188,0.08,-0.007017543859649123,-0.08943089430894309,-0.2608695652173913,0.027676620538965767,-0.1527777777777778,-0.034528552456839307,-0.015647226173541962,-0.02378854625550661,0.014347202295552367,-0.026019080659150044,-0.18947368421052632,0.02990325417766051,-0.03773584905660377,0.0,0.20634920634920634,0.102880658436214,-0.18963922294172064,-0.07390300230946882,0.10382266455553042,0.27450980392156865,-0.2870967741935484,-0.10915492957746478
2017-01-01,-0.49630314232902034,-0.00872093023255814,-0.1578673602080624,-0.1494413407821229,0.2833333333333333,-0.25118483412322273,-0.11914893617021277,-0.2835820895522388,-0.16222426470588236,-0.09523809523809523,-0.1327319587628866,-0.024263431542461005,-0.23348300192431046,-0.1293054771315641,-0.18583296895496285,-0.12857142857142856,-0.14069111424541608,-0.18762886597938144,-0.26245847176079734,0.013937282229965157,-0.26251025430680885,-0.205161541961906,-0.07977528089887641,-0.05457589869708545,-0.043478260869565216,-0.17786561264822134,-0.11403508771929824
2017-02-01,-0.0800711743772242,0.011673151750972763,-0.029817953546767105,0.21671018276762402,0.06944444444444445,-0.08038976857490865,0.028901734104046242,0.10526315789473684,-0.09016870273414776,0.030303030303030304,0.0704727921498662,0.06825568797399784,-0.11579378068739771,-0.04307622913847542,-0.06221628838451268,-0.07086614173228346,-0.034911242603550295,0.0029895366218236174,0.052941176470588235,0.13806706114398423,-0.07486033519553073,-0.1203588143525741,0.11065006915629322,0.06966346444323605,0.21761658031088082,-0.20076481835564053,-0.09970089730807577
2017-03-01,-0.1727972626176219,0.032640949554896145,-0.00467642178307437,-0.02574257425742574,-0.031746031746031744,0.09100642398286937,-0.10300429184549356,0.2608695652173913,-0.1313340227507756,0.17328519855595667,-0.03598774885145482,0.1735966735966736,-0.04366640440597954,0.054009819967266774,-0.0044720496894409935,-0.01764705882352941,0.0591454802259887,0.005457025920873124,-0.15217391304347827,0.14183123877917414,0.038018433179723504,0.03464383028415726,0.0700985761226725,0.06267322812376265,-0.12195121951219512,-0.05530973451327434,-0.14160070360598065
2017-04-01,-0.13716814159292035,-0.12542372881355932,-0.1162753036437247,-0.06438631790744467,-0.018518518518518517,-0.10681586978636826,0.006097560975609756,-0.11475409836065574,-0.2183507549361208,0.20394736842105263,-0.1265527950310559,0.14521112255406798,-0.11059479553903345,-0.23787388843977364,-0.20207766510017314,0.05384615384615385,-0.15922538999462077,-0.125,-0.20318725099601595,0.022357723577235773,-0.20042417815482502,-0.26488364015283083,-0.2586002372479241,-0.13088522456064222,-0.15246636771300448,-0.33515482695810567,-0.11496350364963503
2017-05-01,0.049217002237136466,0.2,0.08298892378905605,0.0392156862745098,-0.14,0.010250569476082005,-0.03496503496503497,0.1509433962264151,-0.04218040233614536,-0.12195121951219512,0.030208333333333334,0.22157092614302462,0.1768990634755463,0.027710843373493974,-0.025057530043467145,-0.06976744186046512,-0.008079948968743355,0.04370860927152318,-0.03954802259887006,0.2558139534883721,-0.005235602094240838,-0.0028336845164571678,-0.01078582434514638,0.1102432846060478,0.30952380952380953,-0.2085201793721973,-0.05567010309278351
2017-06-01,-0.06540084388185655,-0.12222222222222222,-0.05516596540439458,-0.02284263959390863,-0.208955223880597,-0.045657015590200446,0.00641025641025641,-0.3493975903614458,-0.2859237536656892,0.020689655172413793,-0.05252725470763132,0.020554984583761562,0.024136299100804542,-0.1778115501519757,-0.11834319526627218,-0.07511737089201878,-0.02306900102986612,0.056955093099671415,-0.09574468085106383,0.050933786078098474,0.11141304347826086,-0.09979532345097067,-0.24664879356568364,0.022642067876874505,-0.003937007874015748,-0.1822125813449024,-0.05140961857379768
2017-07-01,0.24227799227799227,-0.047337278106508875,0.026738845144356954,0.1160337552742616,-0.078125,0.06517094017094018,0.3313953488372093,-0.16853932584269662,-0.2732992528509634,0.1456953642384106,-0.01631321370309951,0.19669277632724108,0.020264681555004136,-0.06525407837989874,0.05648957632817754,0.05102040816326531,0.045068582625734814,0.011299435028248588,-0.14222222222222222,0.18421052631578946,0.024494142705005325,0.03205005426802018,0.007621951219512195,0.09217255948410051,-0.04597701149425287,-0.24836601307189543,0.04206008583690987
2017-08-01,-0.041536050156739814,0.15284974093264247,0.004918981481481482,-0.10932944606413994,-0.028169014084507043,0.1051567239635996,0.036613272311212815,-0.20388349514563106,-0.2206766917293233,-0.03088803088803089,-0.059033989266547404,0.0891089108910891,0.02578341927806426,-0.10281954887218045,-0.07688966116420504,-0.09166666666666666,-0.008164931618697694,0.17590361445783131,-0.1588785046728972,0.15171288743882544,-0.05299145299145299,-0.05821675851349442,-0.21685393258426966,0.041974783210086714,-0.02147239263803681,-0.2554112554112554,0.15210688591983557
2017-09-01,-0.008873720136518772,-0.0741444866920152,-0.030249110320284697,-0.007751937984496124,-0.13636363636363635,0.016457680250783698,0.005649717514124294,-0.019417475728155338,-0.11975308641975309,-0.123046875,-0.0030616150019135095,0.016238868517548456,-0.06452599388379204,-0.07825639265488245,-0.09416419386745796,0.011876484560570071,-0.033271719038817,0.08982683982683982,0.05443548387096774,0.09370199692780339,0.03298611111111111,-0.04223791718598532,-0.17641509433962263,0.03571428571428571,-0.019559902200488997,-0.12361623616236163,0.01549053356282272
2017-10-01,0.0273109243697479,-0.05327868852459016,0.022872476360848455,0.037089871611982884,0.10810810810810811,0.007246376811594203,-0.16412213740458015,-0.3140495867768595,-0.0641902899967416,-0.08943089430894309,-0.07203389830508475,0.07367716008037509,0.06597671410090557,-0.0073079202054118116,-0.07144456886898096,-0.06201550387596899,-0.028504604589972227,0.26248399487836105,0.04436860068259386,0.08384146341463415,0.01026694045174538,-0.01722406735151,-0.08045977011494253,0.06649476052010753,0.08814589665653495,-0.06883365200764818,0.06866537717601548
2017-11-01,-0.018418201516793065,-0.013651877133105802,0.02734375,0.02850877192982456,-0.058823529411764705,0.1439299123904881,-0.04419889502762431,0.03333333333333333,-0.13441160066926938,-0.12605042016806722,0.02662993572084481,-0.022857142857142857,0.0055536272127733426,-0.034106412005457026,-0.004868812550716798,0.08695652173913043,-0.009431984908824145,0.41631504922644164,-0.06716417910447761,0.17693836978131214,-0.0166270783847981,0.005093535839970365,-0.09734513274336283,0.05816497233303307,0.3027027027027027,0.050156739811912224,0.1
2017-12-01,0.044654939106901215,0.06046511627906977,0.01708108108108108,-0.05830903790087463,-0.037037037037037035,0.045936395759717315,0.11607142857142858,0.29411764705882354,-0.21828490432317504,0.11475409836065574,0.05639614855570839,0.13728323699421965,-0.024819494584837544,-0.07708628005657708,-0.13935886019590382,0.4155844155844156,-0.016794762311414746,0.08235294117647059,0.03940886699507389,0.07894736842105263,-0.09577114427860696,-0.028049575994781473,-0.0024937655860349127,0.04036885245901639,-0.07179487179487179,0.004524886877828055,-0.029644268774703556
2018-01-01,-0.028440366972477066,-0.12023460410557185,0.07072266831377394,0.06568144499178982,-0.42857142857142855,0.10886075949367088,0.028985507246376812,-1.0,-0.08063631376851343,-0.2631578947368421,-0.0676077265973254,0.09680284191829484,0.05355648535564853,0.03372243839169909,0.0018796992481203006,-0.00546448087431694,-0.01272055806319245,0.315989847715736,0.036036036036036036,0.14948453608247422,0.004449388209121246,0.008669338349554264,-0.17704517704517705,0.1833628514500775,0.03496503496503497,-1.0,0.01287128712871287
2018-02-01,-0.14216634429400388,0.29615384615384616,0.058233581365253966,-0.12446351931330472,-0.37662337662337664,-0.045033112582781455,0.07303370786516854,-0.07936507936507936,-0.07033248081841433,-0.14705882352941177,-0.08,-0.029411764705882353,-0.022211938917167977,-0.04407259014847985,-0.051822323462414575,0.288135593220339,0.006539955037809115,0.20864381520119224,0.061452513966480445,0.053726169844020795,0.06521739130434782,-0.01152788862286069,-0.1718555417185554,0.06998418436511523,0.04680851063829787,-1.0,-0.05647840531561462
2018-03-01,0.03205791106514995,-0.1206896551724138,0.010154592300697181,0.08130081300813008,-0.4262295081967213,-0.10500490677134446,0.023923444976076555,-0.3448275862068966,0.020833333333333332,-0.23076923076923078,0.09451945988880063,0.03365810451727192,-0.03578774167009461,-0.10913930789707187,-0.17194908909408535,0.2215568862275449,-0.039673278879813305,0.23202170963364993,0.13846153846153847,-0.11949685534591195,-0.004439511653718091,-0.13641835966892402,-0.22210849539406347,0.01788470751051259,0.24074074074074073,-0.1686182669789227,0.0625
2018-04-01,0.10974358974358975,0.08914728682170543,0.150448964632582,0.15913978494623657,-1.0,0.07972665148063782,0.10303030303030303,0.16666666666666666,0.15230312035661217,-0.0273224043715847,0.14222222222222222,-0.02158273381294964,0.1400208986415883,0.25059665871121717,0.12213267203967762,0.2773722627737226,0.163574322883344,0.5824175824175825,0.32,0.23658051689860835,0.19230769230769232,0.20827820827820828,0.1232,0.32740435623790803,0.35978835978835977,-1.0,-0.016494845360824743
2018-05-01,-0.07569296375266525,-0.17054263565891473,-0.056021981376889025,-0.09905660377358491,0.06976744186046512,-0.06764374295377677,0.15942028985507245,-0.21311475409836064,-0.13008130081300814,0.18518518518518517,-0.07077856420626896,-0.02015355086372361,-0.07648099027409372,-0.1160609613130129,-0.16863362182008917,0.13125,0.06152197213290461,0.14086294416243655,0.08235294117647059,-0.07407407407407407,0.021052631578947368,-0.09829495773826873,-0.10124610591900311,0.0745317996007225,-0.004545454545454545,-0.13314447592067988,0.008733624454148471
2018-06-01,0.002257336343115124,0.1308016877637131,0.10852713178294573,0.07012987012987013,-1.0,0.015169194865810968,0.044585987261146494,-1.0,0.024640657084188913,-0.17567567567567569,0.0010460251046025104,0.10070493454179255,0.07624768946395563,-0.0316543438077634,-0.06995353639648942,0.16243654822335024,-0.009065991988193127,0.1316062176165803,-0.01764705882352941,-0.0888529886914378,-0.1234718826405868,-0.0776491663221717,-0.03202846975088968,0.0637692344797646,0.019762845849802372,-0.22015915119363394,0.03671328671328671
2018-07-01,-0.06371406371406371,-0.012422360248447204,0.025563189007828727,0.045368620037807186,-0.423728813559322,0.022066198595787363,0.10043668122270742,0.22972972972972974,0.04274891774891775,-0.24855491329479767,-0.06633499170812604,-0.10327272727272727,-0.00040535062829347385,-0.05255767301905717,-0.17398684489709315,0.04854368932038835,-0.03375,0.22569832402234638,0.2694300518134715,-0.01037037037037037,-0.02079002079002079,-0.10064955150015466,-0.09228441754916793,0.020869388170619972,0.27309236947791166,-0.08115942028985507,0.009884678747940691
2018-08-01,0.028618152085036794,-0.11685393258426967,0.011661387849121796,0.11129296235679215,-0.3333333333333333,-0.0384263494967978,-0.06622516556291391,-0.21951219512195122,-0.011577424023154847,0.00398406374501992,-0.04752851711026616,0.007954545454545454,-0.06264501160092807,-0.0458830923947203,-0.08070588235294118,0.0,-0.0032928586128833093,0.09938524590163934,-0.05555555555555555,0.13739376770538245,-0.09566787003610108,-0.03848462115528882,-0.05308464849354376,0.015112835698968652,0.08463949843260188,-0.011627906976744186,-0.15611061552185548
2018-09-01,0.005509641873278237,-0.030800821355236138,0.04012232415902141,-0.033482142857142856,-0.09774436090225563,-0.01927525057825752,-0.03089887640449438,0.2079207920792079,0.02664796633941094,-0.1403118040089087,0.01727447216890595,0.05257731958762887,0.03465184700882641,-0.015825730776391732,-0.11465385455339594,0.018779342723004695,0.05765553757905574,0.14796425024826215,-0.01338432122370937,-0.004213483146067416,-0.03277310924369748,-0.0447513013302487,-0.018327605956471937,0.05980097199722287,0.06234413965087282,-0.02736842105263158,-0.08813559322033898
2018-10-01,0.028629856850715747,0.05627705627705628,0.09519050593379139,-0.03851444291609354,-1.0,0.06474820143884892,0.2557077625570776,-1.0,0.0017409470752089136,0.017857142857142856,0.04018264840182648,0.07236431690580163,0.06674757281553398,-0.019299641862315958,-0.06608779546550893,0.2066115702479339,0.09720132410472465,0.18356997971602435,-0.014705882352941176,-0.15471167369901548,0.044715447154471545,0.015954102483495755,0.04875,0.17156232316477185,-0.0446927374301676,0.002053388090349076,-0.10588235294117647
2018-11-01,0.0673289183222958,-0.1453287197231834,0.033916349809885935,-0.006396588486140725,-0.25,-0.15317286652078774,-0.028901734104046242,-0.08064516129032258,0.09600515463917526,-0.21153846153846154,-0.12075134168157424,0.025341130604288498,-0.10217466344494304,-0.10028248587570622,-0.14297363413971187,0.06666666666666667,0.03046974185357596,-0.17378351539225423,-0.148,-0.0472972972972973,-0.006038647342995169,-0.06394545287017414,0.0196078431372549,0.032834731849689894,-0.0954356846473029,-0.04776119402985075,-0.15669856459330145
2018-12-01,-0.11917098445595854,-0.10964912280701754,-0.002976190476190476,0.0804953560371517,-0.17307692307692307,-0.10641891891891891,0.096,0.22727272727272727,0.05983680870353581,0.08823529411764706,-0.0013020833333333333,0.07878017789072427,-0.07774178621008793,-0.089272030651341,-0.15416451112260735,-0.11009174311926606,-0.04661262304574407,0.21739130434782608,-0.18009478672985782,-0.15609756097560976,0.009628610729023384,-0.0401006711409396,0.0725,0.00531810124089029,-0.27624309392265195,-0.17567567567567569,0.07331975560081466
2019-01-01,-0.07459867799811143,0.03666666666666667,0.1263340063455437,-0.10477657935285054,0.4772727272727273,0.05136986301369863,0.2535211267605634,,0.03579952267303103,0.12698412698412698,-0.02948207171314741,0.1417004048582996,-0.004368546465448769,-0.0903387703889586,-0.1712677566336103,-0.07692307692307693,0.05631753948462178,-0.085824493731919,-0.034782608695652174,0.04185351270553064,0.02547065337763012,-0.02902781156247466,0.03115727002967359,0.07726486132547589,-0.0777027027027027,inf,-0.06744868035190615
2019-02-01,0.09244644870349493,-0.18100890207715134,0.038520330174258634,-0.11519607843137254,-1.0,0.047156726768377254,0.02617801047120419,-1.0,0.06808803301237965,-0.11206896551724138,-0.009963768115942028,0.4378265412748171,0.019876952200662566,-0.10552268244575937,-0.17327327327327327,0.039473684210526314,0.04365482233502538,0.02836004932182491,-0.05263157894736842,-0.15296052631578946,-0.01927437641723356,-0.056696869112765766,0.0015037593984962407,0.05949427229055588,0.056910569105691054,inf,0.02112676056338028
2019-03-01,-0.004008016032064128,-0.013071895424836602,0.08042010502625656,0.06015037593984962,-1.0,0.03179824561403509,0.17757009345794392,-1.0,0.07346938775510205,-0.004,-0.001451378809869376,0.30162810625535563,-0.029436860068259386,-0.04780876494023904,-0.043701024713682944,0.09313725490196079,0.05085922582884916,-1.0,0.21171171171171171,-1.0,0.03678929765886288,0.039208852487583865,0.04473684210526316,0.09585316111488783,-0.09328358208955224,-1.0,-0.04725168756027001
2019-04-01,-0.11275415896487985,0.060498220640569395,0.045396623128384835,-0.00927643784786642,,-0.049578059071729956,0.07692307692307693,0.15873015873015872,0.061895551257253385,-0.11797752808988764,0.03501945525291829,0.0055147058823529415,0.016498625114573784,-0.30852417302798985,-0.2218232044198895,0.14857142857142858,-0.034640762463343105,-0.12103174603174603,-0.041666666666666664,-0.21221864951768488,-0.03670745272525028,-0.2142968872203973,-0.15669515669515668,-0.17330386948140486,0.011673151750972763,,0.09853249475890985
2019-05-01,-0.0265282583621684,0.308411214953271,-0.009540750323415266,0.015706806282722512,-0.2391304347826087,-0.014510278113663845,-0.16875,-1.0,0.06619937694704049,-0.328125,0.00544069640914037,-0.0901077375122429,-0.04643370033508856,-0.12891246684350133,-0.1381703470031546,0.0055248618784530384,-0.11934571890145396,-0.04449388209121246,0.14673913043478262,0.118,-0.09536082474226804,-0.12896969696969696,-0.09012131715771231,-0.09364770414934089,-0.1324200913242009,0.13725490196078433,-0.049783549783549784
2019-06-01,0.03265765765765766,-0.1828358208955224,-0.057134355006695434,-0.007281553398058253,inf,-0.08160919540229886,0.04878048780487805,inf,0.007348029392117568,-0.30327868852459017,0.014629049111807733,-0.0484903934126258,-0.1696006869901245,-0.19398711524695778,-0.22370247016375241,-0.08733624454148471,-0.010425531914893617,-0.13278388278388278,0.005988023952095809,0.040780141843971635,-0.09902370990237098,-0.15828789123776799,0.034926470588235295,-0.13467555434634743,-0.20155038759689922,0.23809523809523808,-0.04215851602023609
2019-07-01,-0.004149377593360996,-0.0220125786163522,0.03489640130861505,-0.028933092224231464,-1.0,-0.10402355250245339,-0.14285714285714285,-1.0,-0.010897768552153606,0.2846153846153846,0.0630550621669627,-0.0016220600162206002,-0.11638280616382807,-0.16959559601947916,-0.1605445671718469,0.009259259259259259,0.010996119016817595,-0.09662716499544212,0.1346938775510204,0.0718562874251497,0.03184713375796178,-0.0751134956665291,0.16,-0.00329078579976067,-0.12618296529968454,-0.07886435331230283,-0.02773246329526917
