,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value
country,Österreich,Belgien,Bulgarien,Schweiz,Zypern,Tschechien,Dänemark,Estland,Spanien,Finnland,Frankreich,Vereinigtes Königreich,Griechenland,Kroatien,Ungarn,Irland,Italien,Lettland,Luxemburg,Litauen,Niederlande,Polen,Portugal,Rumänien,Schweden,Slowenien,Slowakei
date,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-11-01,-0.036748329621380846,0.04310344827586207,0.18353391684901532,-0.010638297872340425,1.5,0.5341365461847389,0.30714285714285716,0.07446808510638298,0.7774674115456238,0.3,0.025746652935118436,0.07682119205298013,1.1009239516702203,-0.054945054945054944,0.6682483194938711,0.33620689655172414,0.16462028194633924,0.8552338530066815,0.06532663316582915,0.488135593220339,-0.043478260869565216,0.46687734082397003,0.415506958250497,0.23406040268456377,0.37209302325581395,0.9219858156028369,0.4948805460750853
2011-12-01,0.05828220858895705,0.09696969696969697,0.3301056338028169,0.12454212454212454,0.6,0.5774193548387097,0.24,0.46153846153846156,1.0782208588957056,-0.06153846153846154,0.1955128205128205,0.16470588235294117,1.3642030276046304,0.18271119842829076,0.5020995800839833,0.13924050632911392,0.3692416725726435,0.903010033444816,0.2966101694915254,0.4970414201183432,0.24369747899159663,0.5882469724042089,0.643598615916955,0.3323162979913552,0.23931623931623933,1.305263157894737,0.7738095238095238
2012-01-01,0.029115341545352745,0.1759656652360515,0.3317307692307692,0.02608695652173913,0.07407407407407407,0.6,0.25316455696202533,0.24285714285714285,0.5901785714285714,0.19424460431654678,0.25,0.32978723404255317,1.0909090909090908,0.34782608695652173,0.8453065134099617,0.4774774774774775,0.42403746097814776,0.8322295805739515,-0.0375,0.2110939907550077,0.048044692737430165,0.5777606968998207,0.5830324909747292,0.38082765845992667,0.059907834101382486,1.1911764705882353,0.7660377358490567
2012-02-01,-0.020506634499396863,0.14285714285714285,0.11140867702196036,0.21221864951768488,0.5555555555555556,0.2853932584269663,0.05181347150259067,0.03296703296703297,0.5413732394366197,0.358974358974359,0.11935483870967742,0.12187958883994127,0.9390243902439024,0.08430609597924774,0.5157606212882595,-0.016129032258064516,0.23562412342215988,0.4216101694915254,-0.14634146341463414,0.10327022375215146,0.036885245901639344,0.289780848022868,0.5122749590834698,0.22576750603656434,0.13793103448275862,1.7383177570093458,0.525
2012-03-01,0.007383966244725738,0.05,0.15069124423963134,0.084070796460177,1.0666666666666667,0.5945945945945946,-0.025830258302583026,-0.25,0.5495958853783982,0.11607142857142858,0.05615384615384615,0.05970149253731343,0.6558752997601919,0.021032504780114723,0.5863106430989093,0.02857142857142857,0.2972490175062522,0.28125,-0.14772727272727273,0.06088082901554404,0.05459057071960298,0.34179387589197,0.484,0.3153165418652144,-0.004201680672268907,1.077720207253886,0.5016835016835017
2012-04-01,0.04751847940865892,0.1885245901639344,0.2954137842685114,0.2425,1.0588235294117647,0.25375375375375375,0.06358381502890173,-0.02654867256637168,0.4591246903385632,0.14184397163120568,0.021352313167259787,0.22613065326633167,0.7676407697790449,0.23591212989493793,1.0022361359570662,0.24347826086956523,0.4212285833681571,0.2627388535031847,0.5691056910569106,0.12280701754385964,0.16152716593245228,0.346330714696302,0.8024691358024691,0.3540055248618785,0.245,2.3625,0.25900900900900903
2012-05-01,-0.0898876404494382,0.1059322033898305,0.07913351016799293,0.06684491978609626,0.47368421052631576,-0.23736263736263735,-0.028985507246376812,-0.36283185840707965,0.4496,0.16071428571428573,-0.03655913978494624,-0.06810035842293907,0.7847176079734219,-0.06229773462783172,0.07916152897657214,0.3870967741935484,0.30542503203759075,-0.19094488188976377,-0.1566265060240964,-0.28377065111758987,-0.12598425196850394,-0.20334374055796153,0.3791130185979971,0.19052399116643245,0.04,0.421875,-0.1269968051118211
2012-06-01,0.0390625,0.2107843137254902,0.15789473684210525,0.14915254237288136,1.5384615384615385,0.025906735751295335,-0.13548387096774195,-0.020202020202020204,0.6191687871077184,-0.03816793893129771,0.13075060532687652,0.03741935483870968,0.5563380281690141,0.18876404494382024,0.2306505528413474,0.19653179190751446,0.4589810017271157,-0.1448087431693989,-0.05263157894736842,-0.16349047141424272,0.06288343558282208,0.03759734140171619,0.48223350253807107,0.19017074713162888,0.26256983240223464,0.564625850340136,0.059236165237724084
2012-07-01,0.08333333333333333,0.053497942386831275,0.2842054728756601,0.2524752475247525,1.6,0.11798396334478808,0.25,-0.014925373134328358,0.6765273311897106,0.23387096774193547,0.13326653306613226,0.15660184237461616,0.7230352303523035,0.15939278937381404,0.3981436248168051,-0.10625,0.5142984807864165,-0.06364513018322084,0.13414634146341464,-0.09251559251559252,0.20151133501259447,0.09742021123102672,0.6501501501501501,0.24905168326220958,0.17587939698492464,0.5640138408304498,0.19815668202764977
2012-08-01,-0.11457455770850884,0.25448028673835127,0.10957824201813166,0.010869565217391304,0.0392156862745098,0.0539609644087256,0.03278688524590164,-0.050359712230215826,0.6090140845070423,0.018779342723004695,0.0604274134119381,0.07972136222910217,0.4111111111111111,0.06747891283973759,0.27867682056163734,-0.07547169811320754,0.41656210790464243,-0.10266159695817491,0.13636363636363635,-0.16907775768535263,0.03406813627254509,0.008090710447056044,0.4394141145139814,0.16879228124653434,0.09815950920245399,0.3865814696485623,0.01839464882943144
