date,country,Anmeldungen in Deutschland,Suche nach Gehalt in Deutschland (Google Trends Index)
2010-01-01,Griechenland,71.7776712985146,186.43326039387307
2010-01-01,Italien,82.65905383360523,30.588235294117638
2010-01-01,Portugal,82.64256777812402,147.0817120622568
2010-01-01,Spanien,64.20224884250753,236.85196752029984
2010-02-01,Griechenland,66.21945376137998,0.0
2010-02-01,Italien,85.49755301794454,111.76470588235293
2010-02-01,Portugal,96.10470551573698,0.0
2010-02-01,Spanien,70.19916219592857,62.96064959400376
2010-03-01,Griechenland,89.12314326784858,0.0
2010-03-01,Italien,121.95758564437193,271.7647058823529
2010-03-01,Portugal,116.48488625740106,0.0
2010-03-01,Spanien,89.15999118100977,32.9793878825734
2010-04-01,Griechenland,78.7733588883565,0.0
2010-04-01,Italien,96.16639477977161,45.882352941176464
2010-04-01,Portugal,102.64880024929883,0.0
2010-04-01,Spanien,71.61020063202763,89.19425359150533
2010-05-01,Griechenland,66.98610445615716,269.14660831509843
2010-05-01,Italien,78.35236541598695,30.588235294117638
2010-05-01,Portugal,93.48706762231224,372.37354085603107
2010-05-01,Spanien,64.11405894025134,125.92129918800752
2010-06-01,Griechenland,88.9314805941543,466.0831509846828
2010-06-01,Italien,91.37030995106036,45.882352941176464
2010-06-01,Portugal,90.8694297288875,66.53696498054474
2010-06-01,Spanien,70.02278239141619,76.45221736414743
2010-07-01,Griechenland,91.23143267848587,0.0
2010-07-01,Italien,91.22349102773246,48.23529411764705
2010-07-01,Portugal,117.98067933935805,0.0
2010-07-01,Spanien,86.24972440655544,82.44846970643349
2010-08-01,Griechenland,106.08528988979396,131.2910284463895
2010-08-01,Italien,94.06199021207178,90.58823529411764
2010-08-01,Portugal,111.06263633530695,0.0
2010-08-01,Spanien,98.50812082016608,133.4166146158651
2010-09-01,Griechenland,143.65117393387638,0.0
2010-09-01,Italien,136.9820554649266,197.6470588235294
2010-09-01,Portugal,132.75163602368337,176.2645914396887
2010-09-01,Spanien,227.00080840743735,38.97564022485947
2010-10-01,Griechenland,154.76760900814566,0.0
2010-10-01,Italien,145.05709624796086,110.58823529411764
2010-10-01,Portugal,107.88407603614833,170.42801556420233
2010-10-01,Spanien,206.71713088851328,38.97564022485947
2010-11-01,Griechenland,134.83469094393868,0.0
2010-11-01,Italien,107.61827079934747,158.82352941176467
2010-11-01,Portugal,94.04799002804612,61.867704280155635
2010-11-01,Spanien,94.71595502314985,138.66333541536542
2010-12-01,Griechenland,107.61859127934834,147.04595185995623
2010-12-01,Italien,69.05383360522023,57.647058823529406
2010-12-01,Portugal,54.03552508569648,205.4474708171206
2010-12-01,Spanien,57.49981627103696,143.16052467207996
2011-01-01,Griechenland,124.38907522759943,0.0
2011-01-01,Italien,94.06199021207178,145.88235294117646
2011-01-01,Portugal,103.58367092552197,158.75486381322955
2011-01-01,Spanien,98.77269052693465,286.3210493441599
2011-02-01,Griechenland,125.73071394345952,0.0
2011-02-01,Italien,104.68189233278957,70.58823529411764
2011-02-01,Portugal,114.24119663446555,18.677042801556418
2011-02-01,Spanien,100.18372896303373,333.54153653966273
2011-03-01,Griechenland,159.84666986104457,124.72647702407001
2011-03-01,Italien,136.9820554649266,32.94117647058823
2011-03-01,Portugal,140.23060143346834,58.36575875486382
2011-03-01,Spanien,120.02645697067685,158.90068707058091
2011-04-01,Griechenland,134.45136559655006,199.56236323851203
2011-04-01,Italien,117.1125611745514,36.470588235294116
2011-04-01,Portugal,106.01433468370207,119.06614785992218
2011-04-01,Spanien,106.79797163224809,146.90818238600875
2011-05-01,Griechenland,144.22616195495928,45.951859956236326
2011-05-01,Italien,114.56769983686787,172.94117647058823
2011-05-01,Portugal,130.6949205359925,220.62256809338518
2011-05-01,Spanien,110.23737782023957,254.09119300437231
2011-06-01,Griechenland,163.29659798754193,0.0
2011-06-01,Italien,113.34420880913541,162.35294117647058
2011-06-01,Portugal,110.50171392957307,154.08560311284046
2011-06-01,Spanien,103.97589476004995,246.59587757651474
2011-07-01,Griechenland,176.80881648298993,0.0
2011-07-01,Italien,109.5269168026101,36.470588235294116
2011-07-01,Portugal,124.52477407291991,150.5836575875486
2011-07-01,Spanien,137.13529800837802,172.39225484072455
2011-08-01,Griechenland,189.74604695735508,60.393873085339166
2011-08-01,Italien,117.01468189233279,130.58823529411762
2011-08-01,Portugal,140.417575568713,135.40856031128405
2011-08-01,Spanien,156.5370765047402,236.1024359775141
2011-09-01,Griechenland,247.43651173933875,148.3588621444201
2011-09-01,Italien,167.0309951060359,116.4705882352941
2011-09-01,Portugal,190.713617949517,165.7587548638132
2011-09-01,Spanien,323.7451311824796,227.10805746408496
2011-10-01,Griechenland,275.1317680881648,237.636761487965
2011-10-01,Italien,181.41924959216965,158.82352941176467
2011-10-01,Portugal,152.7578684948582,254.4747081712062
2011-10-01,Spanien,277.79819210700373,174.64084946908184
2011-11-01,Griechenland,283.2774317201725,90.59080962800876
2011-11-01,Italien,125.33442088091356,118.82352941176471
2011-11-01,Portugal,133.12558429417263,346.69260700389106
2011-11-01,Spanien,168.35452340706988,108.68207370393506
2011-12-01,Griechenland,254.43219932918066,98.4682713347921
2011-12-01,Italien,94.55138662316477,344.70588235294105
2011-12-01,Portugal,88.81271424119663,110.89494163424123
2011-12-01,Spanien,119.49731755713971,151.4053716427233
2012-01-01,Griechenland,260.0862482031624,262.582056892779
2012-01-01,Italien,133.9477977161501,196.47058823529412
2012-01-01,Portugal,163.97631660953567,242.80155642023345
2012-01-01,Spanien,157.06621591827735,377.0143660212368
2012-02-01,Griechenland,243.7949209391471,206.12691466083152
2012-02-01,Italien,129.347471451876,290.58823529411757
2012-02-01,Portugal,172.76410096603303,513.6186770428014
2012-02-01,Spanien,154.4205188505916,369.5190505933792
2012-03-01,Griechenland,264.6861523718256,225.82056892778994
2012-03-01,Italien,177.69983686786298,309.4117647058823
2012-03-01,Portugal,208.10221252726703,275.4863813229572
2012-03-01,Spanien,185.99250385830823,210.6183635227983
2012-04-01,Griechenland,237.66171538092954,162.800875273523
2012-04-01,Italien,166.4437194127243,164.70588235294116
2012-04-01,Portugal,191.0875662200062,179.76653696498053
2012-04-01,Spanien,155.83155728669067,418.2386008744535
2012-05-01,Griechenland,257.40297077144226,329.5404814004376
2012-05-01,Italien,149.55954323001632,256.4705882352941
2012-05-01,Portugal,180.243066375818,89.88326848249027
2012-05-01,Spanien,159.8001028882193,318.55090568394763
2012-06-01,Griechenland,254.14470531863918,0.0
2012-06-01,Italien,165.36704730831974,316.4705882352941
2012-06-01,Portugal,163.78934247429103,206.6147859922179
2012-06-01,Spanien,168.35452340706988,330.54341036851974
2012-07-01,Griechenland,304.64781983708673,160.17505470459517
2012-07-01,Italien,165.85644371941274,142.35294117647058
2012-07-01,Portugal,205.4845746338423,232.29571984435796
2012-07-01,Spanien,229.91107518189168,502.9356652092443
2012-08-01,Griechenland,267.7527551509344,136.5426695842451
2012-08-01,Italien,165.7585644371941,250.5882352941176
2012-08-01,Portugal,202.11904019943904,304.6692607003891
2012-08-01,Spanien,251.8703608436834,365.7713928794504
2012-09-01,Griechenland,316.5309056061332,135.22975929978116
2012-09-01,Italien,232.7569331158238,201.17647058823525
2012-09-01,Portugal,241.75755687129947,324.51361867704287
2012-09-01,Spanien,401.35224516792823,311.05559025609
2012-10-01,Griechenland,373.7422137038812,227.13347921225383
2012-10-01,Italien,276.3621533442088,241.17647058823528
2012-10-01,Portugal,203.98878155188532,300.00000000000006
2012-10-01,Spanien,413.6106415815389,200.12492192379767
2012-11-01,Griechenland,280.59415428845233,250.76586433260394
2012-11-01,Italien,180.6851549755302,231.76470588235293
2012-11-01,Portugal,157.05827360548457,88.715953307393
2012-11-01,Spanien,219.15190710663626,176.88944409743914
2012-12-01,Griechenland,207.66650694777192,91.90371991247265
2012-12-01,Italien,119.85318107667212,111.76470588235293
2012-12-01,Portugal,108.81894671237144,304.6692607003891
2012-12-01,Spanien,140.39832439185713,201.6239850093692
2013-01-01,Griechenland,283.37326305701964,170.67833698030634
2013-01-01,Italien,201.87601957585645,222.35294117647055
2013-01-01,Portugal,223.8080398878155,302.3346303501945
2013-01-01,Spanien,238.28911589622987,193.37913803872578
2013-02-01,Griechenland,232.58265452803067,68.27133479212254
2013-02-01,Italien,180.92985318107668,261.17647058823525
2013-02-01,Portugal,216.8899968837644,263.8132295719844
2013-02-01,Spanien,217.12353935474388,236.85196752029984
2013-03-01,Griechenland,240.15333013895543,30.196936542669583
2013-03-01,Italien,233.73572593800978,348.235294117647
2013-03-01,Portugal,228.29541913368647,273.15175097276267
2013-03-01,Spanien,236.34893804659364,160.39975015615244
2013-04-01,Griechenland,254.71969333972208,101.09409190371991
2013-04-01,Italien,245.28548123980426,284.70588235294116
2013-04-01,Portugal,263.6335306949205,93.3852140077821
2013-04-01,Spanien,245.69706768574994,203.8725796377264
2013-05-01,Griechenland,203.25826545280304,17.06783369803063
2013-05-01,Italien,207.11256117455142,389.4117647058823
2013-05-01,Portugal,217.63789342474288,72.37354085603113
