date,country,Anmeldungen in Deutschland,Suche nach Gehalt in Deutschland (Google Trends Index)
2010-01-01,Frankreich,76.79253288078066,57.01943844492441
2010-01-01,Niederlande,97.21809301337863,35.49369290996085
2010-01-01,Polen,69.7034673918728,38.36589698046182
2010-01-01,Rumänien,62.60629366841792,0.0
2010-01-01,Schweiz,101.61681487469684,209.31333859510653
2010-01-01,Vereinigtes Königreich,79.29776112042607,48.82521489971347
2010-01-01,Österreich,89.34817170111288,0.0
2010-02-01,Frankreich,77.72592278319898,99.13606911447084
2010-02-01,Niederlande,82.69271607559992,238.53849499782518
2010-02-01,Polen,70.45656607917996,104.4404973357016
2010-02-01,Rumänien,60.16898662189244,187.83151326053041
2010-02-01,Schweiz,70.08892481810834,54.93291239147592
2010-02-01,Vereinigtes Königreich,76.22053456948417,92.83667621776505
2010-02-01,Österreich,85.4266030736619,127.55244755244757
2010-03-01,Frankreich,103.097157403479,163.93088552915768
2010-03-01,Niederlande,97.85517094924612,76.20704654197478
2010-03-01,Polen,99.32534909262067,179.04085257548846
2010-03-01,Rumänien,89.41667118019824,237.7535101404056
2010-03-01,Schweiz,96.03880355699272,112.70718232044197
2010-03-01,Vereinigtes Königreich,90.42311865075452,157.47851002865332
2010-03-01,Österreich,99.52305246422894,31.888111888111894
2010-04-01,Frankreich,91.47221043699618,108.85529157667386
2010-04-01,Niederlande,98.36483329794011,75.16311439756417
2010-04-01,Polen,107.32702264525913,49.02309058614564
2010-04-01,Rumänien,98.8084276661431,21.216848673946956
2010-04-01,Schweiz,94.58367016976557,105.13022888713495
2010-04-01,Vereinigtes Königreich,93.02692573232075,145.78796561604585
2010-04-01,Österreich,95.17753047164813,0.0
2010-05-01,Frankreich,64.31904963937208,28.509719222462206
2010-05-01,Niederlande,87.27967721384582,58.46020008699435
2010-05-01,Polen,105.04680717535693,85.2575488454707
2010-05-01,Rumänien,104.15425445485566,38.68954758190328
2010-05-01,Schweiz,75.90945836701698,49.25019731649565
2010-05-01,Vereinigtes Königreich,64.14833810040437,35.071633237822354
2010-05-01,Österreich,84.8966613672496,196.3636363636364
2010-06-01,Frankreich,77.55621552821384,117.27861771058316
2010-06-01,Niederlande,98.1100021235931,77.77294475859068
2010-06-01,Polen,178.16013806809266,110.8348134991119
2010-06-01,Rumänien,169.60407301088665,39.93759750390016
2010-06-01,Schweiz,81.00242522231204,0.0
2010-06-01,Vereinigtes Königreich,81.78321333464838,127.22063037249285
2010-06-01,Österreich,78.00741918388977,102.37762237762237
2010-07-01,Frankreich,82.30801866779804,206.69546436285094
2010-07-01,Niederlande,117.85941813548524,92.38799478033928
2010-07-01,Polen,114.10491083102347,155.595026642984
2010-07-01,Rumänien,108.75264041596708,182.2152886115445
2010-07-01,Schweiz,94.58367016976557,108.91870560378845
2010-07-01,Vereinigtes Königreich,96.10415228326265,103.15186246418338
2010-07-01,Österreich,111.7117117117117,151.04895104895107
2010-08-01,Frankreich,110.56427662282562,151.61987041036718
2010-08-01,Niederlande,115.05627521766829,156.58982166159197
2010-08-01,Polen,107.91276606872025,110.8348134991119
2010-08-01,Rumänien,116.55202296484862,189.70358814352574
2010-08-01,Schweiz,121.26111560226353,66.29834254143645
2010-08-01,Vereinigtes Königreich,136.58151691488314,91.46131805157593
2010-08-01,Österreich,124.43031266560678,193.006993006993
2010-09-01,Frankreich,197.19983029274502,101.7278617710583
2010-09-01,Niederlande,120.91739222764917,41.23531970421923
2010-09-01,Polen,109.01103498770985,91.65186500888099
2010-09-01,Rumänien,122.01159074906572,188.45553822152888
2010-09-01,Schweiz,167.82538399353274,238.67403314917124
2010-09-01,Vereinigtes Königreich,196.58743465825032,70.14326647564471
2010-09-01,Österreich,135.45310015898252,0.0
2010-10-01,Frankreich,183.62324989393298,48.59611231101512
2010-10-01,Niederlande,109.1951582076874,176.42453240539368
2010-10-01,Polen,96.8986977668532,87.38898756660745
2010-10-01,Rumänien,107.17651519254727,0.0
2010-10-01,Schweiz,139.69280517380759,77.66377269139699
2010-10-01,Vereinigtes Königreich,136.10809744550744,146.47564469914042
2010-10-01,Österreich,131.74350821409644,90.62937062937064
2010-11-01,Frankreich,82.39287229529062,58.31533477321814
2010-11-01,Niederlande,99.63898916967509,112.22270552414095
2010-11-01,Polen,89.3677108937817,112.96625222024865
2010-11-01,Rumänien,96.84233331527922,81.1232449297972
2010-11-01,Schweiz,91.18835893290219,100.39463299131806
2010-11-01,Vereinigtes Königreich,89.35792484465924,112.09169054441261
2010-11-01,Österreich,95.17753047164813,90.62937062937064
2010-12-01,Frankreich,52.94866355536699,58.31533477321814
2010-12-01,Niederlande,75.81227436823104,59.50413223140496
2010-12-01,Polen,52.68552899952932,74.60035523978685
2010-12-01,Rumänien,63.90619075989817,33.073322932917314
2010-12-01,Schweiz,66.2085691188359,76.7166535122336
2010-12-01,Vereinigtes Königreich,60.36098234539896,69.45558739255016
2010-12-01,Österreich,69.10439851616323,216.5034965034965
2011-01-01,Frankreich,79.0835808230802,143.1965442764579
2011-01-01,Niederlande,114.03695052028031,152.9360591561548
2011-01-01,Polen,81.64844934888342,136.41207815275308
2011-01-01,Rumänien,93.05638303634296,30.577223088923557
2011-01-01,Schweiz,111.56022635408247,88.08208366219415
2011-01-01,Vereinigtes Königreich,89.00286024262748,150.60171919770775
2011-01-01,Österreich,94.64758876523582,375.944055944056
2011-02-01,Frankreich,78.91387356809504,138.01295896328293
2011-02-01,Niederlande,93.26820981100022,165.4632448890822
2011-02-01,Polen,87.81967470320589,134.28063943161635
2011-02-01,Rumänien,94.21004170503168,102.34009360374414
2011-02-01,Schweiz,75.42441390460792,59.66850828729281
2011-02-01,Vereinigtes Königreich,80.59966466120919,169.16905444126078
2011-02-01,Österreich,87.86433492315845,135.94405594405598
2011-03-01,Frankreich,110.3097157403479,86.82505399568035
2011-03-01,Niederlande,102.69696326183903,114.31056981296217
2011-03-01,Polen,115.79938287746457,358.0817051509769
2011-03-01,Rumänien,119.34680171153119,63.026521060842434
2011-03-01,Schweiz,109.62004850444625,72.9281767955801
2011-03-01,Vereinigtes Königreich,95.1573133445113,146.47564469914042
2011-03-01,Österreich,100.47694753577106,162.79720279720283
2011-04-01,Frankreich,95.37547730165464,90.06479481641469
2011-04-01,Niederlande,86.77001486515184,47.49891257068291
2011-04-01,Polen,109.1783902515559,509.4138543516874
2011-04-01,Rumänien,117.64068677896333,50.546021840873635
2011-04-01,Schweiz,97.00889248181083,75.76953433307023
2011-04-01,Vereinigtes Königreich,94.21047440575994,226.2464183381089
2011-04-01,Österreich,100.37095919448859,238.32167832167835
2011-05-01,Frankreich,78.91387356809504,86.17710583153347
2011-05-01,Niederlande,97.09067742620513,49.586776859504134
2011-05-01,Polen,207.7088018409079,385.7904085257549
2011-05-01,Rumänien,161.8696853165791,74.88299531981279
2011-05-01,Schweiz,90.70331447049314,131.64956590370954
2011-05-01,Vereinigtes Königreich,99.06302396686064,114.84240687679083
2011-05-01,Österreich,94.32962374138845,298.7412587412587
2011-06-01,Frankreich,70.0890963088672,67.38660907127431
2011-06-01,Niederlande,83.07496283712041,64.20182688125273
2011-06-01,Polen,210.87809214999217,245.11545293072822
2011-06-01,Rumänien,179.8570113199372,132.29329173166926
2011-06-01,Schweiz,71.54405820533549,125.96685082872926
2011-06-01,Vereinigtes Königreich,91.72502219153763,116.21776504297996
