date,country,Anmeldungen in Deutschland,Vorhersage (ohne Google Trends),Vorhersage (mit Google Trends)
2011-01-31,Italien,0.08730562445386791,,
2011-04-30,Italien,0.1661776117314231,,
2011-07-31,Italien,0.25580101225963503,,
2011-10-31,Italien,0.21243181595458527,,
2012-01-31,Italien,0.26642207302493137,0.26851306053953633,0.2553748590711964
2012-04-30,Italien,0.2764454235444056,0.23180593033718927,0.26906774422641233
2012-07-31,Italien,0.35273941204836845,0.2613473926460752,0.28509598815479575
2012-10-31,Italien,0.37051851656981505,0.3493255057225316,0.37285430637077766
2013-01-31,Italien,0.3493756414571205,0.36613359210298724,0.37380277644492127
2013-04-30,Italien,0.33115896310743764,0.3332668467537489,0.34241574158521504
2013-07-31,Italien,0.3339610401613733,0.28700218803762606,0.31870438651690397
2013-10-31,Italien,0.2604700079536695,0.2879318268209564,0.2710445186147242
2014-01-31,Italien,0.28826465330134887,0.23811294484857626,0.2704184818351234
2014-04-30,Italien,0.2750611420941631,0.21269473633326733,0.24595437664503814
2014-07-31,Italien,0.17635704667041274,0.21944786431225316,0.2305478277639361
2014-10-31,Italien,0.16798023298169085,0.12087495848460193,0.14305115263427623
2015-01-31,Italien,0.12577534374929478,0.1026085925052294,0.11821530371413345
2015-04-30,Italien,0.06415559405942162,0.07965593052605101,0.05599948631450962
2015-07-31,Italien,0.045201061296737066,0.041714809346939524,0.030445756652593456
2015-10-31,Italien,0.0001885547285667144,0.020507184979316508,0.012595039093981632
2016-01-31,Italien,-0.10545324926633626,-0.03609661061943004,-0.06837935659094463
2016-04-30,Italien,-0.1493396288123492,-0.09645801172807925,-0.11396139265899546
2016-07-31,Italien,-0.19149357177108506,-0.12236099343431875,-0.13726537527433846
2016-10-31,Italien,-0.12073918243011406,-0.14888225270708236,-0.13873747006789336
2017-01-31,Italien,-0.06103489286864772,-0.07660095338072745,-0.08652084098097472
2017-04-30,Italien,-0.04570149309511784,-0.05204344483693189,-0.05634004036565412
2017-07-31,Italien,0.004011406202472756,-0.016100639631913067,-0.026996640473868093
2017-10-31,Italien,-0.02525917203375272,-0.007295608118508929,-0.01589702089952982
2018-01-31,Italien,-0.01266709039481384,0.00060027322510267,-0.023725187025868722
2018-04-30,Italien,0.03530555780399425,-0.0018850086087177198,-0.005424423591295605
2018-07-31,Italien,0.005742714850818231,0.026268932706707347,0.01920042799881091
2018-10-31,Italien,0.05424518939148726,0.002808531507106829,-0.0045325158438708464
2019-01-31,Italien,0.01931765904305749,0.058345918790284446,0.033285388258938786
2019-04-30,Italien,0.01953342576810968,0.008932461542731626,-0.005014282926198401
2019-07-31,Italien,-0.04200111119288508,0.007212451614179927,0.00047667885339621206
2019-10-31,Italien,-0.07424310138118706,-0.002150322237955417,-0.027174208154447075
2011-01-31,Spanien,0.2615996055723553,,
2011-04-30,Spanien,0.3443684987434388,,
2011-07-31,Spanien,0.46196428268631795,,
2011-10-31,Spanien,0.3522463558296378,,
2012-01-31,Spanien,0.5679260850690504,0.4264461167612657,0.4290564695336698
2012-04-30,Spanien,0.4143430073276475,0.4042918498928362,0.4013994575207282
2012-07-31,Spanien,0.45992561211446503,0.3393136689643488,0.3261824874176106
2012-10-31,Spanien,0.3406534734490041,0.2926687375938954,0.279797201256088
2013-01-31,Spanien,0.2939187415729787,0.23886572759894953,0.23302232476922083
2013-04-30,Spanien,0.34128399564371836,0.20963579924069348,0.2114375542918998
2013-07-31,Spanien,0.28823240856378796,0.27826148083514163,0.2472170212621934
2013-10-31,Spanien,0.08811024801034506,0.20187222752687084,0.1334086225729557
2014-01-31,Spanien,0.04353823171077398,0.04276738626647827,0.03450629563233269
2014-04-30,Spanien,-0.06475635503171073,0.011063350823206159,-0.0010624023406251369
2014-07-31,Spanien,0.004822120487761872,-0.03406477696585864,-0.0811677057474813
2014-10-31,Spanien,-0.12626613701447376,-0.029173450787423318,-0.07038121333107389
2015-01-31,Spanien,-0.12521001319375635,-0.09949794189366927,-0.11527823974845122
2015-04-30,Spanien,-0.16586038918170765,-0.10987069770507193,-0.13029521572081396
2015-07-31,Spanien,-0.13240901104776892,-0.1537707504823027,-0.14123506805538066
2015-10-31,Spanien,-0.10162666873978843,-0.10207387899844622,-0.09020287860033696
2016-01-31,Spanien,-0.16999938121293745,-0.11218281014861109,-0.1207641758439778
2016-04-30,Spanien,-0.15623651670014738,-0.11440077983433616,-0.13382483565576753
2016-07-31,Spanien,-0.19228260294696398,-0.14065533261728203,-0.13993533425359866
2016-10-31,Spanien,-0.07235148234856048,-0.10657392725179689,-0.10003841316793576
2017-01-31,Spanien,-0.04580068170706397,-0.08560491838055262,-0.07605372960603334
2017-04-30,Spanien,-0.15692974599752407,-0.048624400429478284,-0.05113330439868899
2017-07-31,Spanien,-0.24634073229533904,-0.10102204765196976,-0.13570709815930923
2017-10-31,Spanien,-0.13853932378169898,-0.1526626255637438,-0.14948266750995182
2018-01-31,Spanien,-0.14807203323721652,-0.09219723021938071,-0.122178997643221
2018-04-30,Spanien,0.027749912952902633,-0.12392982366502844,-0.11470218537567932
2018-07-31,Spanien,-0.016120939513495358,-0.03183623416887849,-0.02949967763035407
2018-10-31,Spanien,0.008859932053608688,0.001896913598205859,0.009102672783520251
2019-01-31,Spanien,0.06115053661687586,0.013579176974602663,0.04134531219694071
2019-04-30,Spanien,0.06539341876633209,0.0510271415706711,0.03510079606966139
2019-07-31,Spanien,0.015705484584378482,0.06339810305919594,0.07967593204156677
2019-10-31,Spanien,-0.02777302536009607,0.015938646171428587,0.016023121469047153
2011-01-31,Portugal,0.014641549992947311,,
2011-04-30,Portugal,0.13192754304254795,,
2011-07-31,Portugal,0.1871671144274778,,
2011-10-31,Portugal,0.3147840022295725,,
2012-01-31,Portugal,0.4198953729371935,0.3286602118292112,0.3292012409288971
2012-04-30,Portugal,0.45592386982812627,0.358277460430984,0.38502972905403626
2012-07-31,Portugal,0.4021026301586419,0.4011156584278185,0.3946558388014155
2012-10-31,Portugal,0.288922708198065,0.30052664049647726,0.3034658985176774
2013-01-31,Portugal,0.2351060978415873,0.18831112382043855,0.24236011266925825
2013-04-30,Portugal,0.21266475452831823,0.20268515772309562,0.18066456812790957
2013-07-31,Portugal,0.16253577004307207,0.21954718176647392,0.14593603690319853
2013-10-31,Portugal,0.07042246429654586,0.09664219859629919,0.07892098608065005
2014-01-31,Portugal,-0.004540302918782935,0.0429104323024079,0.027671876920899775
2014-04-30,Portugal,-0.2806407081130837,-0.09586905846285144,-0.13629774080753634
2014-07-31,Portugal,-0.20238989359333193,-0.14336161544948023,-0.1595368858242727
2014-10-31,Portugal,-0.17023489565880734,-0.15162759659010872,-0.15750850529327656
2015-01-31,Portugal,-0.18437143793539867,-0.20138686198200478,-0.16792653462968055
2015-04-30,Portugal,-0.08947140283049215,-0.1054656120682406,-0.11831592313059092
2015-07-31,Portugal,-0.1812705845479794,-0.1050803371322569,-0.11123212878164138
2015-10-31,Portugal,-0.04295832480223449,-0.06330275165937475,-0.08438511578143448
