date,country,Anmeldungen in Deutschland,Google Trends: Abitur/Universität Deutschland,Google Trends: Arbeit,Google Trends: Arbeitslosengeld,Google Trends: Arbeitslosigkeit,Google Trends: BIP,Google Trends: BIP Deutschland,Google Trends: Bachelor/Master/Promotion Deutschland,Google Trends: Brutto/Netto/Zulagen,Google Trends: Einkommen/Steuer,Google Trends: Einkommen/Steuern Deutschland,Google Trends: Gehalt,Google Trends: Gehalt Deutschland,Google Trends: Inflation,Google Trends: Jobs,Google Trends: Jobs/Arbeit Deutschland,Google Trends: Konto Deutschland,Google Trends: Miete Deutschland,Google Trends: Mindestlohn,Google Trends: Rente,Google Trends: Rente Deutschland,Google Trends: Sozialhilfe,Google Trends: Studium Deutschland,Google Trends: Visum/Einreisebestimmungen Deutschland,Google Trends: Wirtschaft Deutschland,Google Trends: Wohnung Deutschland
2013-04-30,Finnland,118.20083682008368,77.15133531157271,120.76700434153402,118.20968730839974,107.78863010267969,116.01267365342432,883.8709677419355,247.0588235294118,102.14094558429974,124.42850739578665,82.55208333333331,131.97385620915034,100.38759689922482,101.90796857463523,99.71236816874402,228.85431400282883,,,110.98204857444561,87.30650154798764,,127.89644012944984,,,265.6527249683143,
2013-07-31,Finnland,69.8744769874477,142.7299703264095,107.38060781476123,91.47762109135499,99.77460555972952,83.35364367535949,0.0,1058.8235294117646,83.94290811775201,111.42985208426715,26.562499999999996,113.67320261437912,152.32558139534885,80.3591470258137,90.41227229146693,114.00282885431402,,,119.95776135163673,70.69143446852426,,143.68932038834953,,,122.68694550063371,
2013-10-31,Finnland,228.45188284518827,127.00296735905043,122.21418234442841,137.58430410790925,116.60405709992487,111.4306604923227,1335.4838709677417,0.0,92.86351471900089,99.77588525324968,69.79166666666664,120.47058823529414,32.17054263565892,89.56228956228959,115.62799616490894,153.88967468175392,,,104.1182682154171,94.22084623323012,,135.27508090614884,,,97.84537389100127,
2014-01-31,Finnland,71.54811715481172,125.81602373887237,120.69464544138931,158.43041079092578,120.51089406461307,114.06288081891297,3187.096774193548,435.29411764705884,107.22569134701159,129.00044822949351,88.80208333333331,118.58823529411767,103.48837209302326,88.66442199775535,107.86193672099712,136.63366336633666,,,93.87539598732839,94.73684210526316,,118.31715210355988,,,67.9340937896071,
2014-04-30,Finnland,129.0794979079498,60.53412462908013,131.54848046309698,140.2820355610055,122.21387427998998,138.53278089203022,1245.1612903225805,917.6470588235294,115.96788581623552,125.95248767368894,46.614583333333336,130.30065359477126,41.86046511627908,108.52974186307522,119.17545541706617,148.51485148514848,,,115.1003167898627,93.6016511867905,,144.98381877022655,,,95.81749049429659,
2014-07-31,Finnland,91.42259414225941,269.1394658753709,120.6222865412446,111.58798283261801,96.96969696969698,79.06409943943454,825.8064516129031,458.8235294117647,92.95272078501337,113.22277005826983,41.40624999999999,121.0980392156863,246.8992248062016,80.47138047138048,104.12272291466923,177.36916548797737,,,142.13305174234424,84.10732714138287,,192.10355987055019,,,72.49683143219265,
2014-10-31,Finnland,216.94560669456067,308.60534124629083,133.93632416787267,137.3390557939914,139.34385174054594,125.3716792590787,1548.3870967741934,470.58823529411774,99.55396966993756,101.92738682205292,50.78124999999999,131.1372549019608,199.22480620155042,85.29741863075198,121.47651006711412,148.23196605374824,,,106.96937697993663,113.93188854489163,,170.48543689320388,,,99.3662864385298,
2015-01-31,Finnland,71.75732217573221,122.55192878338278,131.83791606367586,131.69834457388106,156.67417981467568,136.48549841579333,2032.258064516129,423.529411764706,95.45049063336307,128.4625728372927,56.25,127.26797385620917,211.2403100775194,137.48597081930419,117.35378715244485,247.80763790664778,,,70.01055966209081,96.28482972136224,,180.84142394822007,,,126.74271229404309,
2015-04-30,Finnland,131.3807531380753,264.6884272997033,132.70622286541246,169.46658491722872,142.95016278487353,141.84742871069946,2025.8064516129027,447.0588235294119,89.38447814451382,117.7947108919767,77.34374999999999,141.1764705882353,342.6356589147287,110.10101010101012,128.18791946308727,166.05374823196607,,,126.39915522703272,100.82559339525284,,206.3430420711974,,,358.9353612167301,
2015-07-31,Finnland,80.33472803347281,106.52818991097922,116.85962373371927,162.35438381361126,120.4107187578262,99.73190348525468,2729.032258064516,0.0,87.77876895628903,109.27835051546394,34.895833333333336,121.83006535947715,222.4806201550388,97.53086419753087,103.93096836049857,196.88826025459687,,,114.99472016895459,89.16408668730651,,229.38511326860842,,,121.16603295310522,
2015-10-31,Finnland,213.5983263598326,191.6913946587537,137.2648335745297,146.6584917228694,144.4527923866767,144.86960760419205,3116.1290322580644,670.5882352941177,100.7136485280999,96.63827879874496,50.78124999999999,137.93464052287584,159.68992248062014,86.75645342312009,127.42090124640458,210.18387553041018,,,86.90601900739175,94.53044375644997,,191.58576051779937,,,159.6958174904943,
2016-01-31,Finnland,75.10460251046025,131.15727002967358,135.96237337192477,164.56161863887186,103.18056599048334,140.1901048013648,1483.8709677419354,458.8235294117648,93.57716324710078,125.77319587628868,133.85416666666666,128.3137254901961,88.37209302325583,101.01010101010102,121.95589645254074,192.36209335219237,,,99.0496304118268,92.26006191950466,,200.90614886731393,,,148.54245880861853,
2016-04-30,Finnland,117.36401673640167,139.46587537091986,144.13892908827788,158.18516247700794,131.83070373153018,147.5993175725079,1412.9032258064515,752.9411764705883,120.7850133809099,133.9309726580009,22.656249999999996,142.74509803921572,115.89147286821708,127.72166105499441,131.83125599232983,170.86280056577087,,,114.36114044350579,109.70072239422086,,207.50809061488675,,,47.655259822560204,
2016-07-31,Finnland,87.65690376569039,137.3887240356083,126.77279305354561,134.88657265481297,101.67793638868018,97.97708993419447,2961.2903225806454,0.0,94.46922390722568,103.27207530255492,46.614583333333314,126.8496732026144,229.84496124031008,68.46240179573512,107.19079578139981,157.00141442715702,,,90.70749736008446,74.81940144478845,,229.12621359223303,,,97.84537389100127,
2016-10-31,Finnland,212.7615062761506,184.86646884272997,131.04196816208398,166.0331085223789,128.3245679939895,129.6612234950036,1387.0967741935483,494.1176470588236,89.02765388046386,110.17480950246528,104.6875,140.44444444444446,194.96124031007753,98.87766554433222,127.90028763183126,155.58698727015562,,,73.17845828933473,99.7936016511868,,202.58899676375407,,,166.79340937896075,
2017-01-31,Finnland,73.43096234309623,121.06824925816022,133.64688856729381,141.99877375843042,131.53017781116955,159.68803314647815,1845.1612903225805,0.0,108.92060660124889,138.68220528910803,83.59374999999999,139.60784313725492,268.9922480620155,105.9483726150393,126.4621284755513,110.60820367751062,,,74.55121436114042,116.82146542827657,,230.80906148867314,,,193.66286438529787,
2017-04-30,Finnland,134.72803347280333,188.42729970326408,134.8046309696093,132.67933782955242,116.40370648635111,149.54911040701924,2406.451612903226,223.52941176470594,105.26315789473684,130.2554908112954,65.36458333333331,150.48366013071902,315.8914728682171,110.43771043771045,132.21476510067114,191.51343705799152,,,89.12354804646249,115.99587203302373,,177.0873786407767,,,390.87452471482896,
2017-07-31,Finnland,89.7489539748954,52.818991097922854,116.78726483357455,155.4874310239117,90.05760080140244,106.26370948086765,838.7096774193548,223.52941176470594,103.83586083853702,114.1192290452712,40.104166666666664,134.79738562091504,112.4031007751938,90.46015712682383,113.51869606903165,97.31258840169733,,,103.16789862724391,92.8792569659443,,148.7378640776699,,,60.329531051964516,
2017-10-31,Finnland,193.3054393305439,212.75964391691392,125.90448625180899,141.50827713059473,110.69371399949914,130.1486717036315,1503.2258064516127,0.0,109.36663693131133,107.66472433886152,119.79166666666663,147.3464052287582,221.7054263565892,107.40740740740743,141.7066155321189,173.40876944837342,,,84.16050686378033,108.87512899896801,,145.76051779935275,,,70.97591888466413,
2018-01-31,Finnland,62.34309623430962,127.59643916913946,126.98986975397975,147.8847332924586,115.70247933884298,153.7411650012186,4322.580645161291,847.058823529412,111.50758251561108,133.84132675930078,58.07291666666665,150.0653594771242,122.48062015503876,107.40740740740743,158.10162991371044,159.54738330975957,,,83.84371700105595,123.01341589267287,,140.32362459546925,,,12.674271229404312,
2018-04-30,Finnland,113.80753138075313,157.27002967359053,130.10130246020265,171.9190680564071,103.18056599048333,162.80770168169627,2361.2903225806454,623.529411764706,127.11864406779664,130.2554908112954,77.60416666666664,171.92156862745102,219.76744186046514,121.54882154882155,172.0038350910834,172.2772277227723,,,134.53009503695878,126.72858617131065,,131.90938511326863,,,268.1875792141952,
2018-07-31,Finnland,79.49790794979079,68.8427299703264,117.43849493487703,140.7725321888412,78.93814174805911,112.2105776261272,2658.064516129032,211.764705882353,99.28635147190009,109.81622590766473,67.1875,153.62091503267976,309.68992248062017,80.69584736251404,133.5570469798658,101.27298444130129,,,86.90601900739175,99.38080495356037,,138.77022653721681,,,49.17617237008872,
2018-10-31,Finnland,181.17154811715477,96.14243323442138,130.8248914616498,134.3960760269773,84.94866015527172,149.64660004874477,2238.7096774193546,423.529411764706,110.52631578947368,114.83639623487227,87.23958333333331,161.35947712418306,82.17054263565892,84.51178451178453,166.53883029721956,140.3111739745403,,,81.20380147835267,126.00619195046441,,128.80258899676377,,,131.30544993662863,
2019-01-31,Finnland,62.34309623430962,130.26706231454006,128.00289435600578,153.2801961986511,86.35111445028802,167.1947355593468,2219.3548387096776,400.0,127.02943800178413,156.79067682653522,69.79166666666664,171.92156862745102,122.48062015503878,100.33670033670036,166.63470757430488,136.0678925035361,,,86.16684266103483,123.3230134158927,,129.57928802588995,,,144.9936628643853,
2019-04-30,Finnland,106.48535564853557,112.46290801186944,127.4963820549928,142.97976701410175,97.37039819684448,168.26712161832805,1664.5161290322583,0.0,124.53166815343444,159.21111609143884,96.61458333333331,187.60784313725492,123.25581395348838,106.84624017957354,172.38734419942475,106.08203677510608,,,110.45406546990495,120.22703818369455,,132.55663430420714,,,368.0608365019011,
2019-07-31,Finnland,70.7112970711297,109.49554896142433,111.7221418234443,131.69834457388103,80.14024542950163,111.23568120887155,3187.0967741935488,0.0,106.15521855486175,143.97131331241596,106.24999999999999,171.29411764705887,177.90697674418607,69.92143658810328,136.24161073825502,153.04101838755307,,,85.74445617740231,110.4231166150671,,126.86084142394823,,,166.79340937896072,
2019-10-31,Finnland,148.74476987447696,124.33234421364985,124.89146164978295,131.69834457388103,88.95567242674683,155.10601998537655,2548.387096774193,188.23529411764707,114.89741302408565,142.80591662931423,63.020833333333336,181.4379084967321,263.5658914728682,115.03928170594838,171.3326941514861,102.12164073550213,,,79.93664202745511,130.4437564499484,,116.50485436893204,,,213.43472750316857,
2020-01-31,Finnland,56.48535564853557,91.09792284866468,126.33863965267732,156.95892090741876,93.16303531179564,155.4959785522788,2077.4193548387093,741.1764705882355,131.935771632471,156.88032272523535,35.67708333333333,194.71895424836603,365.1162790697674,112.45791245791247,163.75838926174498,131.54172560113156,,,102.1119324181626,142.31166150670796,,132.68608414239483,,,119.64512040557669,
2020-04-30,Finnland,,62.611275964391695,134.22575976845155,358.7982832618025,157.57575757575754,175.5788447477455,3593.5483870967732,517.6470588235294,100.62444246208743,156.2528014343344,30.46875,177.46405228758172,263.95348837209303,146.3524130190797,153.11601150527324,95.04950495049506,,,69.37697993664202,113.20949432404541,,137.0873786407767,,,362.9911280101394,
