date,country,Anmeldungen in Deutschland,Vorhersage
2011-01-31,Italien,0.08730562445386791,
2011-04-30,Italien,0.1661776117314231,
2011-07-31,Italien,0.25580101225963503,
2011-10-31,Italien,0.21243181595458527,
2012-01-31,Italien,0.26642207302493137,0.26851306053953633
2012-04-30,Italien,0.2764454235444056,0.23180593033718927
2012-07-31,Italien,0.35273941204836845,0.2613473926460752
2012-10-31,Italien,0.37051851656981505,0.3493255057225316
2013-01-31,Italien,0.3493756414571205,0.36613359210298724
2013-04-30,Italien,0.33115896310743764,0.3332668467537489
2013-07-31,Italien,0.3339610401613733,0.28700218803762606
2013-10-31,Italien,0.2604700079536695,0.2879318268209564
2014-01-31,Italien,0.28826465330134887,0.23811294484857626
2014-04-30,Italien,0.2750611420941631,0.21269473633326733
2014-07-31,Italien,0.17635704667041274,0.21944786431225316
2014-10-31,Italien,0.16798023298169085,0.12087495848460193
2015-01-31,Italien,0.12577534374929478,0.1026085925052294
2015-04-30,Italien,0.06415559405942162,0.07965593052605101
2015-07-31,Italien,0.045201061296737066,0.041714809346939524
2015-10-31,Italien,0.0001885547285667144,0.020507184979316508
2016-01-31,Italien,-0.10545324926633626,-0.03609661061943004
2016-04-30,Italien,-0.1493396288123492,-0.09645801172807925
2016-07-31,Italien,-0.19149357177108506,-0.12236099343431875
2016-10-31,Italien,-0.12073918243011406,-0.14888225270708236
2017-01-31,Italien,-0.06103489286864772,-0.07660095338072745
2017-04-30,Italien,-0.04570149309511784,-0.05204344483693189
2017-07-31,Italien,0.004011406202472756,-0.016100639631913067
2017-10-31,Italien,-0.02525917203375272,-0.007295608118508929
2018-01-31,Italien,-0.01266709039481384,0.00060027322510267
2018-04-30,Italien,0.03530555780399425,-0.0018850086087177198
2018-07-31,Italien,0.005742714850818231,0.026268932706707347
2018-10-31,Italien,0.05424518939148726,0.002808531507106829
2019-01-31,Italien,0.01931765904305749,0.058345918790284446
2019-04-30,Italien,0.01953342576810968,0.008932461542731626
2019-07-31,Italien,-0.04200111119288508,0.007212451614179927
2019-10-31,Italien,-0.07424310138118706,-0.002150322237955417
2011-01-31,Spanien,0.2615996055723553,
2011-04-30,Spanien,0.3443684987434388,
2011-07-31,Spanien,0.46196428268631795,
2011-10-31,Spanien,0.3522463558296378,
2012-01-31,Spanien,0.5679260850690504,0.4264461167612657
2012-04-30,Spanien,0.4143430073276475,0.4042918498928362
2012-07-31,Spanien,0.45992561211446503,0.3393136689643488
2012-10-31,Spanien,0.3406534734490041,0.2926687375938954
2013-01-31,Spanien,0.2939187415729787,0.23886572759894953
2013-04-30,Spanien,0.34128399564371836,0.20963579924069348
2013-07-31,Spanien,0.28823240856378796,0.27826148083514163
2013-10-31,Spanien,0.08811024801034506,0.20187222752687084
2014-01-31,Spanien,0.04353823171077398,0.04276738626647827
2014-04-30,Spanien,-0.06475635503171073,0.011063350823206159
2014-07-31,Spanien,0.004822120487761872,-0.03406477696585864
2014-10-31,Spanien,-0.12626613701447376,-0.029173450787423318
2015-01-31,Spanien,-0.12521001319375635,-0.09949794189366927
2015-04-30,Spanien,-0.16586038918170765,-0.10987069770507193
2015-07-31,Spanien,-0.13240901104776892,-0.1537707504823027
2015-10-31,Spanien,-0.10162666873978843,-0.10207387899844622
2016-01-31,Spanien,-0.16999938121293745,-0.11218281014861109
2016-04-30,Spanien,-0.15623651670014738,-0.11440077983433616
2016-07-31,Spanien,-0.19228260294696398,-0.14065533261728203
2016-10-31,Spanien,-0.07235148234856048,-0.10657392725179689
2017-01-31,Spanien,-0.04580068170706397,-0.08560491838055262
2017-04-30,Spanien,-0.15692974599752407,-0.048624400429478284
2017-07-31,Spanien,-0.24634073229533904,-0.10102204765196976
2017-10-31,Spanien,-0.13853932378169898,-0.1526626255637438
2018-01-31,Spanien,-0.14807203323721652,-0.09219723021938071
2018-04-30,Spanien,0.027749912952902633,-0.12392982366502844
2018-07-31,Spanien,-0.016120939513495358,-0.03183623416887849
2018-10-31,Spanien,0.008859932053608688,0.001896913598205859
2019-01-31,Spanien,0.06115053661687586,0.013579176974602663
2019-04-30,Spanien,0.06539341876633209,0.0510271415706711
2019-07-31,Spanien,0.015705484584378482,0.06339810305919594
2019-10-31,Spanien,-0.02777302536009607,0.015938646171428587
2011-01-31,Portugal,0.014641549992947311,
2011-04-30,Portugal,0.13192754304254795,
2011-07-31,Portugal,0.1871671144274778,
2011-10-31,Portugal,0.3147840022295725,
2012-01-31,Portugal,0.4198953729371935,0.3286602118292112
2012-04-30,Portugal,0.45592386982812627,0.358277460430984
2012-07-31,Portugal,0.4021026301586419,0.4011156584278185
2012-10-31,Portugal,0.288922708198065,0.30052664049647726
2013-01-31,Portugal,0.2351060978415873,0.18831112382043855
2013-04-30,Portugal,0.21266475452831823,0.20268515772309562
2013-07-31,Portugal,0.16253577004307207,0.21954718176647392
2013-10-31,Portugal,0.07042246429654586,0.09664219859629919
2014-01-31,Portugal,-0.004540302918782935,0.0429104323024079
2014-04-30,Portugal,-0.2806407081130837,-0.09586905846285144
2014-07-31,Portugal,-0.20238989359333193,-0.14336161544948023
2014-10-31,Portugal,-0.17023489565880734,-0.15162759659010872
2015-01-31,Portugal,-0.18437143793539867,-0.20138686198200478
2015-04-30,Portugal,-0.08947140283049215,-0.1054656120682406
2015-07-31,Portugal,-0.1812705845479794,-0.1050803371322569
2015-10-31,Portugal,-0.04295832480223449,-0.06330275165937475
2016-01-31,Portugal,-0.15346691911685717,-0.10663651415546044
2016-04-30,Portugal,-0.05051579013690155,-0.0739510693468996
2016-07-31,Portugal,-0.13425194027188603,-0.10301997203666363
2016-10-31,Portugal,-0.061243625240718025,-0.06686900017382957
2017-01-31,Portugal,-0.03571808260207909,-0.07521034263669679
2017-04-30,Portugal,-0.029937510849732618,-0.0332339854657247
2017-07-31,Portugal,-0.09362970887710809,-0.025377361370999652
2017-10-31,Portugal,-0.17185025692665956,-0.07123429473706774
2018-01-31,Portugal,-0.11736989786905738,-0.13204514100136355
2018-04-30,Portugal,-0.1212283891275332,-0.1137600730488336
2018-07-31,Portugal,-0.07903178523067478,-0.08041322835114642
2018-10-31,Portugal,-0.005850413678174959,-0.04840937534397043
2019-01-31,Portugal,0.03650040221952633,-0.039055709651275604
2019-04-30,Portugal,-0.03538939721424228,0.05957346052872843
2019-07-31,Portugal,0.03534729838923045,0.013951856298112573
2019-10-31,Portugal,-0.10601267946721826,0.0452505503029558
2011-01-31,Griechenland,0.5272901274019341,
2011-04-30,Griechenland,0.5791227417481313,
2011-07-31,Griechenland,0.6671313471726164,
2011-10-31,Griechenland,0.562803228772597,
2012-01-31,Griechenland,0.7727112475638203,0.45324333473135686
2012-04-30,Griechenland,0.5716181844530714,0.5785373077912521
2012-07-31,Griechenland,0.519481990856673,0.4308755311158174
2012-10-31,Griechenland,0.29532397639253816,0.30112346354080033
2013-01-31,Griechenland,-0.0332207953910757,0.08483400241472845
2013-04-30,Griechenland,-0.025265320056501395,0.008639753829572213
2013-07-31,Griechenland,-0.11454154173221198,-0.05566175498028247
