date,country,Anmeldungen in Deutschland,Google Trends Index
2010-01-01,Italien,82.65905383360523,82.71186440677964
2010-02-01,Italien,85.49755301794454,82.71186440677964
2010-03-01,Italien,121.95758564437193,85.42372881355932
2010-04-01,Italien,96.16639477977161,88.13559322033898
2010-05-01,Italien,78.35236541598695,95.59322033898304
2010-06-01,Italien,91.37030995106036,171.52542372881356
2010-07-01,Italien,91.22349102773246,186.44067796610167
2010-08-01,Italien,94.06199021207178,94.91525423728812
2010-09-01,Italien,136.9820554649266,80.0
2010-10-01,Italien,145.05709624796086,79.3220338983051
2010-11-01,Italien,107.61827079934747,76.61016949152541
2010-12-01,Italien,69.05383360522023,76.61016949152541
2011-01-01,Italien,94.06199021207178,77.28813559322033
2011-02-01,Italien,104.68189233278957,90.84745762711863
2011-03-01,Italien,136.9820554649266,77.28813559322033
2011-04-01,Italien,117.1125611745514,78.64406779661017
2011-05-01,Italien,114.56769983686787,82.03389830508473
2011-06-01,Italien,113.34420880913541,90.84745762711863
2011-07-01,Italien,109.5269168026101,89.49152542372882
2011-08-01,Italien,117.01468189233279,96.27118644067795
2011-09-01,Italien,167.0309951060359,90.16949152542372
2011-10-01,Italien,181.41924959216965,80.6779661016949
2011-11-01,Italien,125.33442088091356,84.7457627118644
2011-12-01,Italien,94.55138662316477,80.6779661016949
2012-01-01,Italien,133.9477977161501,84.06779661016948
2012-02-01,Italien,129.347471451876,82.03389830508473
2012-03-01,Italien,177.69983686786298,81.35593220338983
2012-04-01,Italien,166.4437194127243,90.16949152542372
2012-05-01,Italien,149.55954323001632,92.20338983050847
2012-06-01,Italien,165.36704730831974,280.0
2012-07-01,Italien,165.85644371941274,103.72881355932202
2012-08-01,Italien,165.7585644371941,95.59322033898304
2012-09-01,Italien,232.7569331158238,90.84745762711863
2012-10-01,Italien,276.3621533442088,83.38983050847459
2012-11-01,Italien,180.6851549755302,75.2542372881356
2012-12-01,Italien,119.85318107667212,71.86440677966101
2013-01-01,Italien,201.87601957585645,81.35593220338983
2013-02-01,Italien,180.92985318107668,80.0
2013-03-01,Italien,233.73572593800978,83.38983050847459
2013-04-01,Italien,245.28548123980426,87.45762711864406
2013-05-01,Italien,207.11256117455142,88.8135593220339
2013-06-01,Italien,227.66721044045676,87.45762711864406
2013-07-01,Italien,237.21044045677,103.05084745762711
2013-08-01,Italien,221.35399673735728,96.27118644067795
