date,country,Anmeldungen in Deutschland,Google Trends Index
2010-01-01,Italien,82.65905383360523,0.0
2010-02-01,Italien,85.49755301794454,0.0
2010-03-01,Italien,121.95758564437193,416.710182767624
2010-04-01,Italien,96.16639477977161,0.0
2010-05-01,Italien,78.35236541598695,560.8355091383813
2010-06-01,Italien,91.37030995106036,0.0
2010-07-01,Italien,91.22349102773246,0.0
2010-08-01,Italien,94.06199021207178,0.0
2010-09-01,Italien,136.9820554649266,0.0
2010-10-01,Italien,145.05709624796086,0.0
2010-11-01,Italien,107.61827079934747,0.0
2010-12-01,Italien,69.05383360522023,222.45430809399477
2011-01-01,Italien,94.06199021207178,357.18015665796344
2011-02-01,Italien,104.68189233278957,0.0
2011-03-01,Italien,136.9820554649266,0.0
2011-04-01,Italien,117.1125611745514,90.86161879895562
2011-05-01,Italien,114.56769983686787,0.0
2011-06-01,Italien,113.34420880913541,786.4229765013055
2011-07-01,Italien,109.5269168026101,310.18276762402087
2011-08-01,Italien,117.01468189233279,416.710182767624
2011-09-01,Italien,167.0309951060359,0.0
2011-10-01,Italien,181.41924959216965,0.0
2011-11-01,Italien,125.33442088091356,0.0
2011-12-01,Italien,94.55138662316477,413.57702349869453
2012-01-01,Italien,133.9477977161501,137.8590078328982
2012-02-01,Italien,129.347471451876,72.0626631853786
2012-03-01,Italien,177.69983686786298,209.92167101827675
2012-04-01,Italien,166.4437194127243,310.18276762402087
2012-05-01,Italien,149.55954323001632,388.5117493472585
2012-06-01,Italien,165.36704730831974,0.0
2012-07-01,Italien,165.85644371941274,0.0
2012-08-01,Italien,165.7585644371941,0.0
2012-09-01,Italien,232.7569331158238,269.45169712793734
2012-10-01,Italien,276.3621533442088,219.3211488250653
2012-11-01,Italien,180.6851549755302,231.8537859007833
2012-12-01,Italien,119.85318107667212,278.85117493472586
2013-01-01,Italien,201.87601957585645,90.86161879895562
2013-02-01,Italien,180.92985318107668,448.041775456919
2013-03-01,Italien,233.73572593800978,592.1671018276762
2013-04-01,Italien,245.28548123980426,203.6553524804178
2013-05-01,Italien,207.11256117455142,335.24804177545695
2013-06-01,Italien,227.66721044045676,413.57702349869453
2013-07-01,Italien,237.21044045677,328.9817232375979
2013-08-01,Italien,221.35399673735728,0.0
2013-09-01,Italien,322.56117455138667,360.3133159268929
2013-10-01,Italien,332.20228384991844,607.8328981723238
2013-11-01,Italien,238.58075040783032,485.63968668407307
2013-12-01,Italien,166.6394779771615,325.84856396866843
2014-01-01,Italien,265.54649265905385,401.04438642297646
2014-02-01,Italien,255.41598694942905,924.2819843342037
2014-03-01,Italien,319.8694942903752,115.92689295039165
