date,country,Anmeldungen in Deutschland_x,Suche nach Jobs in Deutschland (Google Trends Index)_x,Anmeldungen in Deutschland_y,Suche nach Jobs in Deutschland (Google Trends Index)_y
2010-01-01,Italien,82.65905383360523,123.96345748418834,82.65905383360523,123.96345748418834
2010-02-01,Italien,85.49755301794454,108.78425860857344,84.07830342577489,116.37385804638089
2010-03-01,Italien,121.95758564437193,97.8215038650738,96.7047308319739,110.1897399859452
2010-04-01,Italien,96.16639477977161,81.79901616303584,96.57014681892332,103.09205903021785
2010-05-01,Italien,78.35236541598695,101.194659170766,92.92659053833606,102.71257905832749
2010-06-01,Italien,91.37030995106036,96.13492621222768,92.66721044045677,101.61630358397751
2010-07-01,Italien,91.22349102773246,76.73928320449754,92.46096481006758,98.0624435297661
2010-08-01,Italien,94.06199021207178,127.33661278988055,92.6610929853181,101.7217146872804
2010-09-01,Italien,136.9820554649266,106.25439212930429,97.58564437194127,102.22534551417193
2010-10-01,Italien,145.05709624796086,85.17217146872804,102.33278955954323,100.52002810962755
2010-11-01,Italien,107.61827079934747,123.12016865776529,102.8132878540709,102.57458634127643
2010-12-01,Italien,69.05383360522023,71.67955024595925,100.0,100.0
2011-01-01,Italien,94.06199021207178,126.49332396345747,100.95024469820555,100.21082220660576
2011-02-01,Italien,104.68189233278957,115.53056921995785,102.54893964110931,100.77301475755446
2011-03-01,Italien,136.9820554649266,112.15741391426563,103.80097879282219,101.96767392832045
2011-04-01,Italien,117.1125611745514,113.84399156711173,105.54649265905384,104.63808854532677
2011-05-01,Italien,114.56769983686787,118.90372452565003,108.56443719412725,106.11384399156712
2011-06-01,Italien,113.34420880913541,124.80674631061139,110.39559543230018,108.5031623330991
2011-07-01,Italien,109.5269168026101,119.74701335207307,111.92088091353997,112.08713984539706
2011-08-01,Italien,117.01468189233279,107.94096978215038,113.83360522022839,110.47083626141954
2011-09-01,Italien,167.0309951060359,194.79971890372454,116.33768352365416,117.84961349262123
2011-10-01,Italien,181.41924959216965,169.50105411103306,119.36786296900489,124.87702037947997
2011-11-01,Italien,125.33442088091356,168.65776528460998,120.84420880913541,128.6718200983837
2011-12-01,Italien,94.55138662316477,166.12789880534083,122.96900489396411,136.5425158116655
2012-01-01,Italien,133.9477977161501,220.09838369641602,126.29282218597064,144.34293745607872
2012-02-01,Italien,129.347471451876,218.41180604356992,128.34828711256117,152.9163738580464
2012-03-01,Italien,177.69983686786298,237.80744905130007,131.7414355628059,163.38721011946592
2012-04-01,Italien,166.4437194127243,241.18060435699223,135.85236541598695,173.99859451862264
2012-05-01,Italien,149.55954323001632,290.93464511595226,138.768352365416,188.3345045678145
2012-06-01,Italien,165.36704730831974,258.8896697118763,143.10358890701468,199.5080815179199
2012-07-01,Italien,165.85644371941274,227.68798313422346,147.79771615008158,208.50316233309908
2012-08-01,Italien,165.7585644371941,267.3225579761068,151.85970636215333,221.7849613492621
2012-09-01,Italien,232.7569331158238,357.5544624033732,157.336867862969,235.3478566408995
2012-10-01,Italien,276.3621533442088,274.91215741391426,165.24877650897227,244.13211524947295
2012-11-01,Italien,180.6851549755302,254.6732255797611,169.86133768352366,251.30007027406884
2012-12-01,Italien,119.85318107667212,224.31482782853126,171.96982055464926,256.1489810260014
2013-01-01,Italien,201.87601957585645,402.2487702037948,177.6305057096248,271.3281799016163
2013-02-01,Italien,180.92985318107668,365.98735066760366,181.92903752039152,283.62614195361914
2013-03-01,Italien,233.73572593800978,394.6591707659874,186.59869494290376,296.6971187631764
2013-04-01,Italien,245.28548123980426,387.9128601546029,193.16884176182705,308.9248067463106
2013-05-01,Italien,207.11256117455142,434.29374560787073,197.96492659053834,320.87139845397047
2013-06-01,Italien,227.66721044045676,313.7034434293746,203.15660685154978,325.4392129304287
2013-07-01,Italien,237.21044045677,329.72593113141244,209.10277324632955,333.94237526352777
2013-08-01,Italien,221.35399673735728,357.5544624033732,213.73572593800978,341.4617006324666
2013-09-01,Italien,322.56117455138667,590.302178496135,221.2194127243067,360.8573436401968
2013-10-01,Italien,332.20228384991844,555.7273366127899,225.87275693311585,384.25860857343645
2013-11-01,Italien,238.58075040783032,506.816584680253,230.69738988580752,405.27055516514406
2013-12-01,Italien,166.6394779771615,338.15881939564304,234.59624796084827,414.75755446240345
2014-01-01,Italien,265.54649265905385,489.107519325369,239.9021207177814,421.99578355586794
2014-02-01,Italien,255.41598694942905,489.107519325369,246.10929853181077,432.25579761068167
2014-03-01,Italien,319.8694942903752,504.28671820098384,253.28711256117455,441.39142656359803
2014-04-01,Italien,294.0783034257749,382.00983836964156,257.3531810766721,440.8995080815179
2014-05-01,Italien,242.8384991843393,314.5467322557976,260.3303425774878,430.9205903021785
2014-06-01,Italien,277.73246329526916,322.97962052002816,264.50244698205546,431.693605059733
2014-07-01,Italien,281.30505709624794,418.2712579058328,268.17699836867865,439.0723822909347
2014-08-01,Italien,257.7650897226754,421.6444132115249,271.21125611745515,444.41321152494737
2014-09-01,Italien,397.5856443719413,488.26423049894584,277.46329526916804,435.91004919184826
2014-10-01,Italien,381.28874388254485,430.07730147575546,281.55383360522023,425.4392129304287
2014-11-01,Italien,266.7699836867863,390.4427266338721,283.90293637846656,415.74139142656355
2014-12-01,Italien,204.56769983686786,360.0843288826423,287.06362153344213,417.56851721714685
2015-01-01,Italien,289.5269168026101,427.54743499648634,289.06199021207175,412.43851018973993
2015-02-01,Italien,272.39804241435564,418.2712579058328,290.4771615008156,406.5354884047786
2015-03-01,Italien,348.1566068515498,309.48699929725933,292.83442088091357,390.30217849613496
2015-04-01,Italien,306.5089722675367,269.852424455376,293.87030995106034,380.9557273366128
2015-05-01,Italien,254.1435562805873,290.0913562895292,294.8123980424144,378.91777933942376
2015-06-01,Italien,298.38499184339315,272.38229093464514,296.53344208809136,374.70133520730855
2015-07-01,Italien,286.4926590538336,259.7329585382994,296.9657422512235,361.48981026001405
2015-08-01,Italien,265.0570962479608,317.91988756148976,297.57340946166397,352.8460997891778
2015-09-01,Italien,393.9151712887439,305.2705551651441,297.26753670473084,337.5966268446943
2015-10-01,Italien,377.86296900489396,213.35207308503166,296.98205546492665,319.53619114546734
2015-11-01,Italien,240.0489396411093,206.60576247364722,294.7553017944535,304.21644413211527
2015-12-01,Italien,166.9331158238173,177.93394237526354,291.61908646003263,289.0372452565004
2016-01-01,Italien,277.58564437194127,277.44202389318343,290.62398042414355,276.52846099789184
2016-02-01,Italien,248.12398042414355,248.77020379479973,288.6011419249592,262.4033731553057
2016-03-01,Italien,277.19412724306693,249.61349262122278,282.6876019575857,257.413914265636
2016-04-01,Italien,272.9363784665579,196.4862965565706,279.8898858075041,251.30007027406887
2016-05-01,Italien,230.163132137031,208.29234012649334,277.89151712887445,244.48348559381589
2016-06-01,Italien,237.60195758564439,184.68025298664793,272.826264274062,237.1749824314828
2016-07-01,Italien,224.77977161500817,161.06816584680251,267.6835236541599,228.95291637385802
2016-08-01,Italien,239.7553017944535,205.76247364722414,265.57504078303424,219.6064652143359
2016-09-01,Italien,344.1924959216966,247.08362614195357,261.431484502447,214.7575544624034
2016-10-01,Italien,334.7960848287113,264.7926914968376,257.8425774877651,219.0442726633872
2016-11-01,Italien,233.4910277324633,216.7252283907239,257.2960848287113,219.88756148981022
2016-12-01,Italien,171.92495921696576,138.29936753338018,257.71207177814034,216.58468025298666
2017-01-01,Italien,238.53181076672107,231.0611384399157,254.45758564437196,212.7196064652143
2017-02-01,Italien,239.46166394779772,188.05340829234015,253.73572593800984,207.65987350667604
2017-03-01,Italien,293.5889070146819,199.8594518622628,255.10195758564439,203.51370344342936
2017-04-01,Italien,229.47797716150086,150.10541110330288,251.4804241435563,199.64862965565706
2017-05-01,Italien,228.30342577487767,161.9114546732256,251.32544861337684,195.78355586788473
2017-06-01,Italien,232.12071778140296,158.5382993675334,250.86867862969007,193.60505973295855
2017-07-01,Italien,234.91027732463294,190.58327477160927,251.71288743882545,196.06465214335913
2017-08-01,Italien,237.79771615008158,209.9789177793394,251.54975530179448,196.416022487702
2017-09-01,Italien,332.7406199021207,206.60576247364722,250.59543230016314,193.04286718200981
2017-10-01,Italien,325.2528548123981,169.50105411103306,249.80016313213707,185.10189739985947
2017-11-01,Italien,231.28874388254488,181.30709768095574,249.61663947797717,182.15038650737878
2017-12-01,Italien,169.03752039151715,138.29936753338018,249.37601957585647,182.15038650737878
2018-01-01,Italien,235.49755301794454,266.4792691496838,249.12316476345845,185.10189739985947
2018-02-01,Italien,241.02773246329528,222.62825017568525,249.2536704730832,187.98313422347155
2018-03-01,Italien,281.94127243066885,170.34434293745608,248.2830342577488,185.523541813071
2018-04-01,Italien,267.0146818923328,138.29936753338018,251.4110929853181,184.53970484891076
2018-05-01,Italien,242.34910277324633,162.75474349964864,252.58156606851549,184.60997891777936
2018-06-01,Italien,230.0163132137031,159.38158819395645,252.40619902120716,184.68025298664793
2018-07-01,Italien,226.9820554649266,139.9859451862263,251.74551386623168,180.4638088545327
2018-08-01,Italien,237.0146818923328,149.26212227687984,251.68026101141925,175.4040758959944
2018-09-01,Italien,351.92495921696576,179.6205200281096,253.278955954323,173.1553056921996
2018-10-01,Italien,356.86786296900493,192.26985242445537,255.91353996737357,175.05270555165146
2018-11-01,Italien,238.33605220228384,143.3591004919185,256.5008156606852,171.890372452565
2018-12-01,Italien,161.15823817292008,152.63527758257206,255.84420880913538,173.08503162333102
2019-01-01,Italien,248.76019575856444,178.7772312016866,256.94942903752036,165.77652846099792
2019-02-01,Italien,251.54975530179448,156.8517217146873,257.826264274062,160.29515108924807
2019-03-01,Italien,296.28058727569334,142.51581166549542,259.021207177814,157.9761068165847
2019-04-01,Italien,257.7650897226754,120.59030217849613,258.25040783034257,156.50035137034436
2019-05-01,Italien,213.4257748776509,111.3141250878426,255.84013050570965,152.21363316936052
2019-06-01,Italien,227.6182707993475,127.33661278988055,255.64029363784667,149.54321855235418
2019-07-01,Italien,229.47797716150086,118.90372452565003,255.84828711256117,147.7863668306395
2019-08-01,Italien,225.70962479608485,172.03092059030217,254.9061990212072,149.68376669009135
2019-09-01,Italien,320.8972267536705,175.4040758959944,252.32055464926592,149.33239634574844
2019-10-01,Italien,331.4192495921697,138.29936753338018,250.199836867863,144.83485593815882
2019-11-01,Italien,213.47471451876018,150.10541110330288,248.12805872756937,145.3970484891075
2019-12-01,Italien,156.94942903752042,129.02319044272664,247.77732463295274,143.42937456078707
2020-01-01,Italien,,174.56078706957135,247.68797271244256,143.07800421644413
2020-02-01,Italien,,147.57554462403374,247.30179445350737,142.30498945888968
2020-03-01,Italien,,96.13492621222768,241.8597063621534,138.43991567111735
2020-04-01,Italien,,117.21714687280394,239.87153344208815,138.158819395643
2020-05-01,Italien,,128.1799016163036,243.64949895129345,139.56430077301476
2020-06-01,Italien,,112.15741391426563,246.32137030995113,138.2993675333802
2020-07-01,Italien,,129.8664792691497,249.69004893964114,139.21293042867183
2020-08-01,Italien,,156.00843288826422,255.68515497553025,137.87772312016867
2020-09-01,Italien,,157.69501054111035,233.94779771615015,136.40196767392834
2020-10-01,Italien,,110.47083626141954,185.21207177814037,134.08292340126494
2020-11-01,Italien,,104.5678144764582,156.94942903752056,130.2881236823612
2020-12-01,Italien,,86.01546029515109,,126.70414617006325
2010-01-01,Spanien,64.20224884250753,80.3970223325062,64.20224884250753,80.3970223325062
2010-02-01,Spanien,70.19916219592857,59.553349875930515,67.20070551921805,69.97518610421835
2010-03-01,Spanien,89.15999118100977,59.553349875930515,74.52046740648196,66.50124069478908
2010-04-01,Spanien,71.61020063202763,68.48635235732009,73.79290071286837,66.99751861042182
2010-05-01,Spanien,64.11405894025134,87.84119106699751,71.85713235834496,71.16625310173697
2010-06-01,Spanien,70.02278239141619,111.66253101736969,71.55140736385684,77.91563275434241
2010-07-01,Spanien,86.24972440655544,74.44168734491315,73.65116694138521,77.41935483870967
2010-08-01,Spanien,98.50812082016608,132.50620347394536,76.75828617623282,84.30521091811413
2010-09-01,Spanien,227.00080840743735,107.19602977667493,93.45189975747776,86.84863523573199
2010-10-01,Spanien,206.71713088851328,87.84119106699751,104.77842287058131,86.94789081885855
2010-11-01,Spanien,94.71595502314985,218.85856079404462,103.86365306626936,98.93976990751183
2010-12-01,Spanien,57.49981627103696,111.66253101736969,100.0,99.99999999999999
2011-01-01,Spanien,98.77269052693465,1042.1836228287839,102.88087014036893,180.1488833746898
2011-02-01,Spanien,100.18372896303373,875.4342431761785,105.3795840376277,248.13895781637711
2011-03-01,Spanien,120.02645697067685,351.36476426799004,107.95178952009995,272.4565756823821
2011-04-01,Spanien,106.79797163224809,309.67741935483866,110.88410377011832,292.55583126550863
2011-05-01,Spanien,110.23737782023957,337.96526054590566,114.727713676784,313.39950372208426
2011-06-01,Spanien,103.97589476004995,168.23821339950368,117.55713970750348,318.1141439205955
2011-07-01,Spanien,137.13529800837802,168.23821339950368,121.79760417432203,325.9305210918114
2011-08-01,Spanien,156.5370765047402,214.39205955334987,126.63335048136987,332.7543424317617
2011-09-01,Spanien,323.7451311824796,533.0024813895781,134.69537737929005,368.23821339950365
2011-10-01,Spanien,277.79819210700373,250.12406947890815,140.6187991474976,381.7617866004962
2011-11-01,Spanien,168.35452340706988,217.36972704714637,146.75534651282427,381.63771712158797
