date,country,Anmeldungen in Deutschland,Suche nach Jobs in Deutschland (Google Trends Index)
2010-01-01,Italien,82.65905383360523,123.96345748418834
2010-02-01,Italien,85.49755301794454,108.78425860857344
2010-03-01,Italien,121.95758564437193,97.8215038650738
2010-04-01,Italien,96.16639477977161,81.79901616303584
2010-05-01,Italien,78.35236541598695,101.194659170766
2010-06-01,Italien,91.37030995106036,96.13492621222768
2010-07-01,Italien,91.22349102773246,76.73928320449754
2010-08-01,Italien,94.06199021207178,127.33661278988055
2010-09-01,Italien,136.9820554649266,106.25439212930429
2010-10-01,Italien,145.05709624796086,85.17217146872804
2010-11-01,Italien,107.61827079934747,123.12016865776529
2010-12-01,Italien,69.05383360522023,71.67955024595925
2011-01-01,Italien,94.06199021207178,126.49332396345747
2011-02-01,Italien,104.68189233278957,115.53056921995785
2011-03-01,Italien,136.9820554649266,112.15741391426563
2011-04-01,Italien,117.1125611745514,113.84399156711173
2011-05-01,Italien,114.56769983686787,118.90372452565003
2011-06-01,Italien,113.34420880913541,124.80674631061139
2011-07-01,Italien,109.5269168026101,119.74701335207307
2011-08-01,Italien,117.01468189233279,107.94096978215038
2011-09-01,Italien,167.0309951060359,194.79971890372454
2011-10-01,Italien,181.41924959216965,169.50105411103306
2011-11-01,Italien,125.33442088091356,168.65776528460998
2011-12-01,Italien,94.55138662316477,166.12789880534083
2012-01-01,Italien,133.9477977161501,220.09838369641602
2012-02-01,Italien,129.347471451876,218.41180604356992
2012-03-01,Italien,177.69983686786298,237.80744905130007
2012-04-01,Italien,166.4437194127243,241.18060435699223
2012-05-01,Italien,149.55954323001632,290.93464511595226
2012-06-01,Italien,165.36704730831974,258.8896697118763
2012-07-01,Italien,165.85644371941274,227.68798313422346
2012-08-01,Italien,165.7585644371941,267.3225579761068
2012-09-01,Italien,232.7569331158238,357.5544624033732
2012-10-01,Italien,276.3621533442088,274.91215741391426
2012-11-01,Italien,180.6851549755302,254.6732255797611
2012-12-01,Italien,119.85318107667212,224.31482782853126
2013-01-01,Italien,201.87601957585645,402.2487702037948
2013-02-01,Italien,180.92985318107668,365.98735066760366
2013-03-01,Italien,233.73572593800978,394.6591707659874
2013-04-01,Italien,245.28548123980426,387.9128601546029
2013-05-01,Italien,207.11256117455142,434.29374560787073
2013-06-01,Italien,227.66721044045676,313.7034434293746
2013-07-01,Italien,237.21044045677,329.72593113141244
2013-08-01,Italien,221.35399673735728,357.5544624033732
2013-09-01,Italien,322.56117455138667,590.302178496135
2013-10-01,Italien,332.20228384991844,555.7273366127899
2013-11-01,Italien,238.58075040783032,506.816584680253
2013-12-01,Italien,166.6394779771615,338.15881939564304
2014-01-01,Italien,265.54649265905385,489.107519325369
2014-02-01,Italien,255.41598694942905,489.107519325369
2014-03-01,Italien,319.8694942903752,504.28671820098384
2014-04-01,Italien,294.0783034257749,382.00983836964156
2014-05-01,Italien,242.8384991843393,314.5467322557976
2014-06-01,Italien,277.73246329526916,322.97962052002816
2014-07-01,Italien,281.30505709624794,418.2712579058328
2014-08-01,Italien,257.7650897226754,421.6444132115249
2014-09-01,Italien,397.5856443719413,488.26423049894584
2014-10-01,Italien,381.28874388254485,430.07730147575546
2014-11-01,Italien,266.7699836867863,390.4427266338721
2014-12-01,Italien,204.56769983686786,360.0843288826423
2015-01-01,Italien,289.5269168026101,427.54743499648634
2015-02-01,Italien,272.39804241435564,418.2712579058328
2015-03-01,Italien,348.1566068515498,309.48699929725933
2015-04-01,Italien,306.5089722675367,269.852424455376
2015-05-01,Italien,254.1435562805873,290.0913562895292
2015-06-01,Italien,298.38499184339315,272.38229093464514
2015-07-01,Italien,286.4926590538336,259.7329585382994
2015-08-01,Italien,265.0570962479608,317.91988756148976
2015-09-01,Italien,393.9151712887439,305.2705551651441
2015-10-01,Italien,377.86296900489396,213.35207308503166
2015-11-01,Italien,240.0489396411093,206.60576247364722
2015-12-01,Italien,166.9331158238173,177.93394237526354
2016-01-01,Italien,277.58564437194127,277.44202389318343
2016-02-01,Italien,248.12398042414355,248.77020379479973
2016-03-01,Italien,277.19412724306693,249.61349262122278
2016-04-01,Italien,272.9363784665579,196.4862965565706
2016-05-01,Italien,230.163132137031,208.29234012649334
2016-06-01,Italien,237.60195758564439,184.68025298664793
2016-07-01,Italien,224.77977161500817,161.06816584680251
2016-08-01,Italien,239.7553017944535,205.76247364722414
2016-09-01,Italien,344.1924959216966,247.08362614195357
2016-10-01,Italien,334.7960848287113,264.7926914968376
2016-11-01,Italien,233.4910277324633,216.7252283907239
2016-12-01,Italien,171.92495921696576,138.29936753338018
2017-01-01,Italien,238.53181076672107,231.0611384399157
2017-02-01,Italien,239.46166394779772,188.05340829234015
2017-03-01,Italien,293.5889070146819,199.8594518622628
2017-04-01,Italien,229.47797716150086,150.10541110330288
2017-05-01,Italien,228.30342577487767,161.9114546732256
2017-06-01,Italien,232.12071778140296,158.5382993675334
2017-07-01,Italien,234.91027732463294,190.58327477160927
2017-08-01,Italien,237.79771615008158,209.9789177793394
2017-09-01,Italien,332.7406199021207,206.60576247364722
2017-10-01,Italien,325.2528548123981,169.50105411103306
2017-11-01,Italien,231.28874388254488,181.30709768095574
2017-12-01,Italien,169.03752039151715,138.29936753338018
2018-01-01,Italien,235.49755301794454,266.4792691496838
2018-02-01,Italien,241.02773246329528,222.62825017568525
2018-03-01,Italien,281.94127243066885,170.34434293745608
2018-04-01,Italien,267.0146818923328,138.29936753338018
2018-05-01,Italien,242.34910277324633,162.75474349964864
2018-06-01,Italien,230.0163132137031,159.38158819395645
2018-07-01,Italien,226.9820554649266,139.9859451862263
2018-08-01,Italien,237.0146818923328,149.26212227687984
2018-09-01,Italien,351.92495921696576,179.6205200281096
2018-10-01,Italien,356.86786296900493,192.26985242445537
2018-11-01,Italien,238.33605220228384,143.3591004919185
2018-12-01,Italien,161.15823817292008,152.63527758257206
2019-01-01,Italien,248.76019575856444,178.7772312016866
2019-02-01,Italien,251.54975530179448,156.8517217146873
2019-03-01,Italien,296.28058727569334,142.51581166549542
2019-04-01,Italien,257.7650897226754,120.59030217849613
2019-05-01,Italien,213.4257748776509,111.3141250878426
2019-06-01,Italien,227.6182707993475,127.33661278988055
2019-07-01,Italien,229.47797716150086,118.90372452565003
2019-08-01,Italien,225.70962479608485,172.03092059030217
2019-09-01,Italien,320.8972267536705,175.4040758959944
2019-10-01,Italien,331.4192495921697,138.29936753338018
2019-11-01,Italien,213.47471451876018,150.10541110330288
2019-12-01,Italien,156.94942903752042,129.02319044272664
2020-01-01,Italien,,174.56078706957135
2020-02-01,Italien,,147.57554462403374
2020-03-01,Italien,,96.13492621222768
2020-04-01,Italien,,117.21714687280394
2020-05-01,Italien,,128.1799016163036
2020-06-01,Italien,,112.15741391426563
2020-07-01,Italien,,129.8664792691497
2020-08-01,Italien,,156.00843288826422
2020-09-01,Italien,,157.69501054111035
2020-10-01,Italien,,110.47083626141954
2020-11-01,Italien,,104.5678144764582
2020-12-01,Italien,,86.01546029515109
2010-01-01,Spanien,64.20224884250753,80.3970223325062
2010-02-01,Spanien,70.19916219592857,59.553349875930515
2010-03-01,Spanien,89.15999118100977,59.553349875930515
2010-04-01,Spanien,71.61020063202763,68.48635235732009
2010-05-01,Spanien,64.11405894025134,87.84119106699751
2010-06-01,Spanien,70.02278239141619,111.66253101736969
2010-07-01,Spanien,86.24972440655544,74.44168734491315
2010-08-01,Spanien,98.50812082016608,132.50620347394536
2010-09-01,Spanien,227.00080840743735,107.19602977667493
2010-10-01,Spanien,206.71713088851328,87.84119106699751
2010-11-01,Spanien,94.71595502314985,218.85856079404462
2010-12-01,Spanien,57.49981627103696,111.66253101736969
2011-01-01,Spanien,98.77269052693465,1042.1836228287839
2011-02-01,Spanien,100.18372896303373,875.4342431761785
2011-03-01,Spanien,120.02645697067685,351.36476426799004
2011-04-01,Spanien,106.79797163224809,309.67741935483866
2011-05-01,Spanien,110.23737782023957,337.96526054590566
2011-06-01,Spanien,103.97589476004995,168.23821339950368
2011-07-01,Spanien,137.13529800837802,168.23821339950368
2011-08-01,Spanien,156.5370765047402,214.39205955334987
2011-09-01,Spanien,323.7451311824796,533.0024813895781
2011-10-01,Spanien,277.79819210700373,250.12406947890815
2011-11-01,Spanien,168.35452340706988,217.36972704714637
2011-12-01,Spanien,119.49731755713971,306.6997518610421
2012-01-01,Spanien,157.06621591827735,351.36476426799004
2012-02-01,Spanien,154.4205188505916,281.38957816377166
2012-03-01,Spanien,185.99250385830823,250.12406947890815
2012-04-01,Spanien,155.83155728669067,323.07692307692304
2012-05-01,Spanien,159.8001028882193,224.81389578163768
2012-06-01,Spanien,168.35452340706988,239.7022332506203
2012-07-01,Spanien,229.91107518189168,312.6550868486352
2012-08-01,Spanien,251.8703608436834,323.07692307692304
2012-09-01,Spanien,401.35224516792823,337.96526054590566
2012-10-01,Spanien,413.6106415815389,272.4565756823821
2012-11-01,Spanien,219.15190710663626,263.5235732009925
2012-12-01,Spanien,140.39832439185713,180.1488833746898
2013-01-01,Spanien,238.28911589622987,269.47890818858554
2013-02-01,Spanien,217.12353935474388,226.30272952853593
2013-03-01,Spanien,236.34893804659364,205.45905707196027
2013-04-01,Spanien,245.69706768574994,196.52605459057068
2013-05-01,Spanien,202.83677518924083,214.39205955334987
2013-06-01,Spanien,225.14882046005732,147.39454094292802
2013-07-01,Spanien,317.3954582200338,147.39454094292802
2013-08-01,Spanien,293.0550451973249,202.48138957816371
2013-09-01,Spanien,493.6870728301609,233.74689826302725
2013-10-01,Spanien,378.59925038583077,199.5037220843672
2013-11-01,Spanien,224.44330124200778,177.17121588089327
2013-12-01,Spanien,147.27713676784006,138.46153846153845
2014-01-01,Spanien,252.84044976850151,148.8833746898263
2014-02-01,Spanien,209.80377746747996,133.99503722084364
2014-03-01,Spanien,241.111192768428,123.57320099255583
2014-04-01,Spanien,204.2478136253399,111.66253101736969
2014-05-01,Spanien,213.86051297126477,96.77419354838709
2014-06-01,Spanien,254.33967810685675,104.2183622828784
2014-07-01,Spanien,280.79664878371426,113.15136476426797
2014-08-01,Spanien,265.980745204674,141.43920595533496
2014-09-01,Spanien,435.3935474388182,116.1290322580645
2014-10-01,Spanien,325.4207393253472,105.70719602977665
2014-11-01,Spanien,193.4004556478283,113.15136476426797
2014-12-01,Spanien,154.4205188505916,114.64019851116625
2015-01-01,Spanien,202.924965091497,113.15136476426797
2015-02-01,Spanien,169.67737194091274,108.68486352357318
2015-03-01,Spanien,209.18644815168662,101.24069478908186
2015-04-01,Spanien,175.76247519658997,83.37468982630271
2015-05-01,Spanien,151.77482178290583,104.2183622828784
2015-06-01,Spanien,222.1503637833468,87.84119106699751
2015-07-01,Spanien,281.85492761078854,98.26302729528534
2015-08-01,Spanien,238.02454618946126,64.0198511166253
2015-09-01,Spanien,386.0953920776071,92.3076923076923
2015-10-01,Spanien,303.19688395678696,111.66253101736969
2015-11-01,Spanien,151.2456823693687,77.41935483870967
2015-12-01,Spanien,121.08473579775114,66.99751861042182
2016-01-01,Spanien,191.90122730947306,80.3970223325062
2016-02-01,Spanien,151.59844197839348,96.77419354838709
2016-03-01,Spanien,170.55927096347466,80.3970223325062
2016-04-01,Spanien,151.86301168516204,77.41935483870967
2016-05-01,Spanien,135.90063937679136,74.44168734491315
2016-06-01,Spanien,180.43654001616812,69.97518610421835
2016-07-01,Spanien,224.2669214374954,71.46401985111662
2016-08-01,Spanien,234.5851400014698,86.35235732009924
2016-09-01,Spanien,357.16910413757626,96.77419354838709
2016-10-01,Spanien,270.6548100242522,86.35235732009924
2016-11-01,Spanien,158.12449474535163,56.575682382133984
2016-12-01,Spanien,124.43595208348643,56.575682382133984
2017-01-01,Spanien,160.7701918130374,75.9305210918114
2017-02-01,Spanien,137.92900712868376,41.68734491315136
2017-03-01,Spanien,148.159035790402,66.99751861042182
2017-04-01,Spanien,118.70360843683399,59.553349875930515
2017-05-01,Spanien,130.16829573013888,68.48635235732009
2017-06-01,Spanien,128.84544719629602,61.04218362282877
2017-07-01,Spanien,162.97493936944218,58.06451612903225
2017-08-01,Spanien,182.81766737708531,38.709677419354826
2017-09-01,Spanien,314.3970015433233,65.50868486352356
2017-10-01,Spanien,253.28139927978245,53.59801488833747
2017-11-01,Spanien,136.87072830160943,69.97518610421835
2017-12-01,Spanien,97.2734621885794,75.9305210918114
2018-01-01,Spanien,147.80627618137723,74.44168734491315
2018-02-01,Spanien,128.22811788050268,69.97518610421835
2018-03-01,Spanien,151.2456823693687,69.97518610421835
2018-04-01,Spanien,136.78253839935326,59.553349875930515
2018-05-01,Spanien,113.23583449695009,68.48635235732009
2018-06-01,Spanien,132.02028367751893,71.46401985111662
2018-07-01,Spanien,169.94194164768132,49.13151364764267
2018-08-01,Spanien,180.7011097229367,83.37468982630271
2018-09-01,Spanien,322.7750422576615,71.46401985111662
2018-10-01,Spanien,253.7223487910634,72.95285359801488
2018-11-01,Spanien,150.011023737782,74.44168734491315
2018-12-01,Spanien,103.09399573748806,61.04218362282877
2019-01-01,Spanien,153.09767031674872,56.575682382133984
2019-02-01,Spanien,136.95891820386566,102.72952853598014
2019-03-01,Spanien,162.35761005364884,66.99751861042182
2019-04-01,Spanien,145.24876901594766,47.642679900744405
2019-05-01,Spanien,120.73197618872638,66.99751861042182
2019-06-01,Spanien,132.990372602337,64.0198511166253
2019-07-01,Spanien,168.08995370030132,77.41935483870967
2019-08-01,Spanien,180.26016021165577,77.41935483870967
2019-09-01,Spanien,308.22370838538984,84.86352357320098
2019-10-01,Spanien,247.90181524215478,83.37468982630271
2019-11-01,Spanien,144.63143970015432,72.95285359801488
2019-12-01,Spanien,111.56022635408245,108.68486352357318
2020-01-01,Spanien,,92.3076923076923
2020-02-01,Spanien,,69.97518610421835
2020-03-01,Spanien,,61.04218362282877
2020-04-01,Spanien,,72.95285359801488
2020-05-01,Spanien,,89.33002481389578
2020-06-01,Spanien,,72.95285359801488
2020-07-01,Spanien,,89.33002481389578
2020-08-01,Spanien,,66.99751861042182
2020-09-01,Spanien,,92.3076923076923
2020-10-01,Spanien,,99.7518610421836
2020-11-01,Spanien,,75.9305210918114
2020-12-01,Spanien,,75.9305210918114
2010-01-01,Portugal,82.64256777812402,122.69326683291773
2010-02-01,Portugal,96.10470551573698,68.8279301745636
2010-03-01,Portugal,116.48488625740106,98.75311720698257
2010-04-01,Portugal,102.64880024929883,56.85785536159602
2010-05-01,Portugal,93.48706762231224,104.73815461346636
2010-06-01,Portugal,90.8694297288875,68.8279301745636
2010-07-01,Portugal,117.98067933935805,41.89526184538654
2010-08-01,Portugal,111.06263633530695,128.6783042394015
2010-09-01,Portugal,132.75163602368337,200.49875311720703
2010-10-01,Portugal,107.88407603614833,200.49875311720703
2010-11-01,Portugal,94.04799002804612,38.90274314214464
2010-12-01,Portugal,54.03552508569648,68.8279301745636
